season,csi,csi_se,ci95_lower,ci95_upper,n_afc,n_nfc
1970,-3.7129897839446806,1.4727304639126562,-6.599488452148453,-0.8264911157409087,13,13
1971,-1.2569684320629742,1.3291707710115157,-3.8620952725488804,1.3481584084229319,13,13
1972,-0.6128013283117222,1.4874871370375686,-3.5282225443719524,2.3026198877485085,13,13
1973,-0.7657198723195425,1.5423226380458108,-3.7886166954301377,2.2571769507910524,13,13
1974,0.7688858217256643,1.2781788616666454,-1.7362987129413643,3.274070356392693,13,13
1975,1.8539562948929282,1.493357368672337,-1.0729703637523558,4.780882953538212,13,13
1976,1.0608473777454401,1.6655256268462342,-2.203522866201676,4.325217621692556,14,14
1977,1.7030935731295196,1.4127964686021142,-1.0659366228159974,4.472123769075036,14,14
1978,0.741146650384654,1.0045575974923668,-1.2277500610964691,2.710043361865777,14,14
1979,2.66314718154792,1.1141229422059864,0.47950634047438667,4.846788022621453,14,14
1980,0.8576106887543675,1.1382587018351011,-1.3733353719317467,3.0885567494404818,14,14
1981,-0.941594037944272,1.171831041410814,-3.238340675075532,1.355152599186988,14,14
1982,-0.1889591962688265,1.3997568994444105,-2.932432306291325,2.554513913753672,14,14
1983,-0.6064608473272093,1.1669678881634538,-2.8936758792423447,1.680754184587926,14,14
1984,-0.6206901669676252,1.3225951722130993,-3.2129290706318505,1.9715487366966,14,14
1985,0.5608944939518267,1.264204673889697,-1.9169011359591837,3.038690123862837,14,14
1986,-0.20276304263088468,1.2797800311023662,-2.7110858117250727,2.3055597264633034,14,14
1987,0.2787443658699997,1.1448593576045638,-1.965138742398608,2.5226274741386074,14,14
1988,-0.14518938688270094,0.9805595199151304,-2.067050730614242,1.7766719568488403,14,14
1989,-0.6315376433887863,1.1971566493940262,-2.9779215600537228,1.71484627327615,14,14
1990,-0.10656044100823298,1.2328903356490675,-2.522981095767904,2.309860213751438,14,14
1991,-2.332453620513073,1.266097411757476,-4.813958948477104,0.14905170745095875,14,14
1992,-2.1031424304051107,1.3091335129720953,-4.6689969667848175,0.462712105974596,14,14
1993,-0.23833818610735596,1.1412058941872836,-2.4750606376592597,1.9983842654445478,14,14
1994,-0.38708041374961805,1.1129874389963221,-2.56849570942788,1.7943348819286438,14,14
1995,-0.6703862208875785,1.0424287773465795,-2.713509080934997,1.37273663915984,15,15
1996,0.39409570239781844,1.117791477627547,-1.7967353359779834,2.5849267407736205,15,15
1997,0.9040552913155349,1.0741346590046625,-1.2012099548798156,3.0093205375108854,15,15
1998,-0.06909680805475338,1.1446054003338504,-2.3124821692191504,2.1742885531096436,15,15
1999,1.5802039989124532,1.1471536300280298,-0.6681758006768712,3.8285837985017777,16,15
2000,1.3387911677398359,1.1705753336996267,-0.9554943275023882,3.63307666298206,16,15
2001,-0.021182684743709268,1.0839177431366642,-2.1456224234955084,2.1032570540080897,16,15
2002,0.7686671160509174,1.1061965906203703,-1.3994383613860064,2.9367725934878415,16,16
2003,0.7477794508766115,1.06887096863984,-1.3471691517779165,2.8427280535311397,16,16
2004,4.6838854836885835,1.1764945664377522,2.3779985054635233,6.989772461913644,16,16
2005,1.4729109008216885,1.1419921162499402,-0.765352517656873,3.71117431930025,16,16
2006,2.379316977950273,1.1043834809846438,0.21476513009939557,4.54386882580115,16,16
2007,0.7598976753697985,1.2245356267981287,-1.6401480509407147,3.1599434016803114,16,16
2008,-0.060826883645684116,1.1871281487540903,-2.387555300237409,2.2659015329460406,16,16
2009,0.2895624167046234,1.251970394052026,-2.164254465347767,2.743379298757014,16,16
2010,1.7103224332008404,1.1918487310151384,-0.6256581546085973,4.046303021010278,16,16
2011,-0.6858366202586631,1.1255412780920548,-2.8918569884322722,1.5201837479149458,16,16
2012,-3.1294052208700003,1.1896743973696318,-5.461124193043871,-0.7976862486961291,16,16
2013,-1.5171588314372257,1.1370505500614139,-3.7457369581590543,0.711419295284603,16,16
2014,0.9115120905839458,1.1855815941866676,-1.4121851347555046,3.235209315923396,16,16
2015,0.07197971028528216,1.1562448923991002,-2.1942186361253446,2.3381780566959085,16,16
2016,0.0866589209421107,1.0232735935539905,-1.9189204687545882,2.09223831063881,16,16
2017,-2.1332481106843653,1.128717289714251,-4.345493347251959,0.07899712588322849,16,16
2018,0.05214052792341972,1.0488312863528386,-2.00353101918696,2.1078120750337996,16,16
2019,-0.3692548828261404,1.14899029136628,-2.621234472490232,1.8827247068379513,16,16
2020,-1.1824385413778773,1.1020720411720113,-3.342460050443563,0.9775829676878083,16,16
2021,-0.3032479344092879,1.0893662593024616,-2.4383665686152343,1.8318706997966583,16,16
2022,0.3672042493099258,0.896179250741216,-1.389274805834948,2.1236833044548,16,16
2023,0.7716078325044693,1.017019270265308,-1.221713308798742,2.7649289738076805,16,16
2024,-1.1491512953264038,1.0571542194044259,-3.2211354914636328,0.9228329008108254,16,16
2025,-0.7979405847375264,1.0660030947536814,-2.8872682578629805,1.2913870883879275,16,16
