game_uid,season
G003573,1987
G003574,1987
G003575,1987
G003576,1987
G003577,1987
G003578,1987
G003579,1987
G003580,1987
G003581,1987
G003582,1987
G003583,1987
G003584,1987
G003585,1987
G003586,1987
G003587,1987
G003588,1987
G003589,1987
G003590,1987
G003591,1987
G003592,1987
G003593,1987
G003594,1987
G003595,1987
G003596,1987
G003597,1987
G003598,1987
G003599,1987
G003600,1987
G003601,1987
G003602,1987
G003603,1987
G003604,1987
G003605,1987
G003606,1987
G003607,1987
G003608,1987
G003609,1987
G003610,1987
G003611,1987
G003612,1987
G003613,1987
G003614,1987
