season,date,week,game_type,home_franchise,away_franchise,home_score,away_score,neutral_site,overtime,source,margin,game_uid
1970,1970-09-18,,REG,LAR,ARI,34,13,False,,fivethirtyeight,21,G000000
1970,1970-09-19,,REG,NYG,CHI,16,24,False,,fivethirtyeight,-8,G000001
1970,1970-09-20,,REG,LAC,IND,14,16,False,,fivethirtyeight,-2,G000002
1970,1970-09-20,,REG,CIN,OAK,31,21,False,,fivethirtyeight,10,G000003
1970,1970-09-20,,REG,SF,WSH,26,17,False,,fivethirtyeight,9,G000004
1970,1970-09-20,,REG,PHI,DAL,7,17,False,,fivethirtyeight,-10,G000005
1970,1970-09-20,,REG,BUF,DEN,10,25,False,,fivethirtyeight,-15,G000006
1970,1970-09-20,,REG,GB,DET,0,40,False,,fivethirtyeight,-40,G000007
1970,1970-09-20,,REG,MIN,KC,27,10,False,,fivethirtyeight,17,G000008
1970,1970-09-20,,REG,NO,ATL,3,14,False,,fivethirtyeight,-11,G000009
1970,1970-09-20,,REG,NE,MIA,27,14,False,,fivethirtyeight,13,G000010
1970,1970-09-20,,REG,PIT,TEN,7,19,False,,fivethirtyeight,-12,G000011
1970,1970-09-21,,REG,CLE,NYJ,31,21,False,,fivethirtyeight,10,G000012
1970,1970-09-27,,REG,CHI,PHI,20,16,False,,fivethirtyeight,4,G000013
1970,1970-09-27,,REG,LAC,OAK,27,27,False,,fivethirtyeight,0,G000014
1970,1970-09-27,,REG,SF,CLE,34,31,False,,fivethirtyeight,3,G000015
1970,1970-09-27,,REG,NE,NYJ,21,31,False,,fivethirtyeight,-10,G000016
1970,1970-09-27,,REG,MIN,NO,26,0,False,,fivethirtyeight,26,G000017
1970,1970-09-27,,REG,GB,ATL,27,24,False,,fivethirtyeight,3,G000018
1970,1970-09-27,,REG,DET,CIN,38,3,False,,fivethirtyeight,35,G000019
1970,1970-09-27,,REG,DEN,PIT,16,13,False,,fivethirtyeight,3,G000020
1970,1970-09-27,,REG,DAL,NYG,28,10,False,,fivethirtyeight,18,G000021
1970,1970-09-27,,REG,ARI,WSH,27,17,False,,fivethirtyeight,10,G000022
1970,1970-09-27,,REG,TEN,MIA,10,20,False,,fivethirtyeight,-10,G000023
1970,1970-09-27,,REG,BUF,LAR,0,19,False,,fivethirtyeight,-19,G000024
1970,1970-09-28,,REG,IND,KC,24,44,False,,fivethirtyeight,-20,G000025
1970,1970-10-03,,REG,CLE,PIT,15,7,False,,fivethirtyeight,8,G000026
1970,1970-10-03,,REG,MIA,OAK,20,13,False,,fivethirtyeight,7,G000027
1970,1970-10-04,,REG,CIN,TEN,13,20,False,,fivethirtyeight,-7,G000028
1970,1970-10-04,,REG,NE,IND,6,14,False,,fivethirtyeight,-8,G000029
1970,1970-10-04,,REG,ATL,SF,21,20,False,,fivethirtyeight,1,G000030
1970,1970-10-04,,REG,DEN,KC,26,13,False,,fivethirtyeight,13,G000031
