season,model,home_adv,sigma,tau,alpha
1970,massey,1.970740322266182,12.442787373704368,,
1970,bradley_terry,0.3671235700737133,,,
1970,bayesian_margin,1.9773692704632753,12.416127419873881,5.7573345872518855,4.650818414385358
1971,massey,2.4985617344828075,12.48664801428324,,
1971,bradley_terry,0.36778966044911615,,,
1971,bayesian_margin,2.4787541675097917,12.438397382344712,4.639797521732196,7.186721210965451
1972,massey,1.171697653296802,12.135514835120828,,
1972,bradley_terry,0.08934804724474392,,,
1972,bayesian_margin,1.1805831299193899,12.090504164718359,6.136662833723341,3.881720819498164
1973,massey,3.8858359528674935,12.50636965960815,,
1973,bradley_terry,0.6223844550956604,,,
1973,bayesian_margin,3.9307985319378846,12.465843713936028,6.4208300368570645,3.7693026297198977
1974,massey,2.343633858888844,11.097568702578872,,
1974,bradley_terry,0.26085609269764753,,,
1974,bayesian_margin,2.350909594282303,11.063990103412523,4.831338229394654,5.244313826185169
1975,massey,1.879772092544298,12.157675285853946,,
1975,bradley_terry,0.3166523721483854,,,
1975,bayesian_margin,1.886950079261885,12.115117941331144,6.178596886000634,3.8448160849736492
1976,massey,3.0326271517069605,11.253145349907182,,
1976,bradley_terry,0.426670499556961,,,
1976,bayesian_margin,3.0310425751715675,11.221443952863467,7.242384880850541,2.4006800744145753
1977,massey,2.9510007832296905,11.149923821591326,,
1977,bradley_terry,0.3746493592023072,,,
1977,bayesian_margin,2.985468573808052,11.125236383497388,5.1023743826518215,4.754160637503693
1978,massey,3.2158817075465485,11.95673827662952,,
1978,bradley_terry,0.46943171743749,,,
1978,bayesian_margin,3.258454414230143,11.917676756328378,3.355974306936286,12.610896147463238
1979,massey,4.224763961126729,12.343355704573868,,
1979,bradley_terry,0.533124456148577,,,
1979,bayesian_margin,4.248922152359867,12.353534548809698,3.892320127678884,10.07315146372251
1980,massey,1.7823766488219857,11.607854717900874,,
1980,bradley_terry,0.24712979048206207,,,
1980,bayesian_margin,1.8040632091417124,11.57257142292397,4.287356757820365,7.285854481261823
1981,massey,2.6035852653486686,12.639871144773746,,
1981,bradley_terry,0.5544843621290284,,,
1981,bayesian_margin,2.6261565804509215,12.599298713705899,4.193811621882446,9.025575583834556
1982,massey,1.9845946326796526,11.70511917761597,,
1982,bradley_terry,0.31341164794567516,,,
1982,bayesian_margin,1.9649066932124797,11.656067670343754,4.833287498775778,5.815925866038344
1983,massey,1.6718714326101833,12.660318927622663,,
1983,bradley_terry,0.2112755245499074,,,
1983,bayesian_margin,1.7587788779525488,12.638237940444153,4.151422353006171,9.267854698990465
1984,massey,2.191174505168587,12.191510858598305,,
1984,bradley_terry,0.4079213313954386,,,
1984,bayesian_margin,2.2140885680685622,12.158150113908636,5.668913904637325,4.599761139667668
1985,massey,4.283597053971675,12.114552929860697,,
1985,bradley_terry,0.7069746610451308,,,
1985,bayesian_margin,4.310941244727432,12.083883079920366,5.116572579318818,5.577694852421941
1986,massey,2.4345527899263795,12.660440959131945,,
1986,bradley_terry,0.25523922542496713,,,
1986,bayesian_margin,2.449937720942978,12.63620650159436,4.9759435795616005,6.448853844811786
1987,massey,1.743999206245526,12.980042588892951,,
1987,bradley_terry,0.2529222322527417,,,
1987,bayesian_margin,1.779475149192424,12.927611694006218,3.7915261182213422,11.625415758949478
1988,massey,2.6549360097034187,12.811288479475069,,
1988,bradley_terry,0.48499950285529964,,,
1988,bayesian_margin,2.667129102379959,12.766409785118618,3.122962135754708,16.711064822962552
1989,massey,3.1627357859245677,11.956673933655466,,
1989,bradley_terry,0.3861792475386425,,,
1989,bayesian_margin,3.195072755238612,11.920576442877907,4.609975424319624,6.68647605649214
1990,massey,3.669463397942276,12.377737876406977,,
1990,bradley_terry,0.529291737243065,,,
