season,model,graph_connected,n,log_loss,margin_mae,accuracy
1970,bayesian_margin,False,26,0.7225468796247067,10.782046298386895,0.48
1970,bayesian_margin,True,150,0.6451645751377831,12.27390526578373,0.6338028169014085
1970,bradley_terry,False,26,0.6870526250421872,,0.44
1970,bradley_terry,True,150,0.6336511023024685,,0.6197183098591549
1970,elo,False,26,0.6429772505671637,10.035222934724745,0.72
1970,elo,True,150,0.6487488165812085,12.34958328556438,0.6056338028169014
1970,massey,False,26,4.623008338306818,14.252564102564111,0.4
1970,massey,True,150,0.675916197476913,12.777497473287879,0.6549295774647887
1971,bayesian_margin,False,26,0.7971804524112682,14.049015842525773,0.4166666666666667
1971,bayesian_margin,True,150,0.6403606847779034,11.150909469011484,0.6551724137931034
1971,bradley_terry,False,26,0.8454022305388226,,0.4583333333333333
1971,bradley_terry,True,150,0.6416078504633637,,0.6275862068965518
1971,elo,False,26,0.7537859624893593,13.495334678834807,0.3333333333333333
1971,elo,True,150,0.6496362296327299,11.549380465709959,0.6137931034482759
1971,massey,False,26,3.945849380362743,20.135837805605167,0.5416666666666666
1971,massey,True,150,0.6635443660861735,12.023352264086665,0.6482758620689655
1972,bayesian_margin,False,13,0.7026564403598866,10.478779300141923,0.4166666666666667
1972,bayesian_margin,True,163,0.6030756342929285,11.39677467577595,0.7044025157232704
1972,bradley_terry,False,13,0.7502729119558004,,0.4166666666666667
1972,bradley_terry,True,163,0.6010065653616068,,0.7169811320754716
1972,elo,False,13,0.7116944852576529,10.45001336715278,0.5
1972,elo,True,163,0.6514580588731741,12.282649009269209,0.5974842767295597
1972,massey,False,13,8.955510188815449,16.02564102564103,0.5
1972,massey,True,163,1.3514081417603985,14.091497242214656,0.6855345911949685
1973,bayesian_margin,False,26,0.6674150818017607,14.981830631719593,0.625
1973,bayesian_margin,True,150,0.5587776049199675,11.35274156444619,0.7655172413793103
1973,bradley_terry,False,26,0.6627615989261874,,0.625
1973,bradley_terry,True,150,0.5642798926486845,,0.7310344827586207
1973,elo,False,26,0.6661876017455953,14.763905904693615,0.625
1973,elo,True,150,0.6169900520054429,12.819823534705684,0.7241379310344828
1973,massey,False,26,4.465029103334642,20.007404951370365,0.5
1973,massey,True,150,0.5832454545872146,11.873492489116893,0.7448275862068966
1974,bayesian_margin,False,26,0.7326697879982744,10.280396116575623,0.52
1974,bayesian_margin,True,150,0.6330833081729234,10.006033683888194,0.6933333333333334
1974,bradley_terry,False,26,0.7360833218504806,,0.52
1974,bradley_terry,True,150,0.6462478538443643,,0.6466666666666666
1974,elo,False,26,0.7096218277066,9.775061071143917,0.48
1974,elo,True,150,0.6576426303723465,10.368034763194865,0.6466666666666666
1974,massey,False,26,5.475931592512323,27.236363636363055,0.52
1974,massey,True,150,0.6819186641995354,10.634029221864212,0.6666666666666666
1975,bayesian_margin,False,13,0.6454280250192177,11.678135376891548,0.6923076923076923
1975,bayesian_margin,True,163,0.572167146012945,11.05233105614987,0.7484662576687117
1975,bradley_terry,False,13,0.6342457240584878,,0.6153846153846154
1975,bradley_terry,True,163,0.587667190547598,,0.7116564417177914
1975,elo,False,13,0.7144705018299694,13.160729129310896,0.38461538461538464
1975,elo,True,163,0.6273343743979753,12.022058792905057,0.6809815950920245
1975,massey,False,13,5.0309606217207925,10.641025641025646,0.6153846153846154
1975,massey,True,163,1.1666576419831352,12.474994329830897,0.7116564417177914
1976,bayesian_margin,False,28,0.6999868463646112,12.39946353735258,0.5185185185185185
1976,bayesian_margin,True,161,0.5617309337662406,11.123136619729689,0.6894409937888198
1976,bradley_terry,False,28,0.6802295797707404,,0.5185185185185185
1976,bradley_terry,True,161,0.5611793223217819,,0.7080745341614907
1976,elo,False,28,0.6825890736543642,13.097990352187313,0.5185185185185185
1976,elo,True,161,0.6139506709403157,12.477400469618201,0.6894409937888198
1976,massey,False,28,3.270652432912791,17.253901560624232,0.5925925925925926
1976,massey,True,161,0.5972516921413593,12.263419774113078,0.6521739130434783
