season,franchise,bayes_rating,bayes_rating_z,bayes_rating_se,bayes_rating_display,avg_margin,dominance_z,points_for_per_game,points_against_per_game,offense_z,defense_z,schedule_difficulty,elite_opponents_played,record_vs_elite_win_pct,playoff_games,playoff_avg_margin,wins,losses,ties,win_pct,conference,division,division_title,conference_best_record,playoff_wins,reached_super_bowl,won_super_bowl,acc,csi,csi_se
1978,DAL,6.307562561333649,2.522457496145133,2.1754336616710908,75.22457496145134,11.0,2.320068377284905,24.0,13.0,1.9266526520119287,1.6795302622548505,-0.1064879575454472,1.0,0.0,3.0,10.333333333333334,12,4,0,0.75,NFC,East,True,True,2,True,False,19.5,0.741146650384654,1.0045575974923668
2001,LAR,9.105138800435586,2.51352590312949,2.403326002873239,75.13525903129491,14.375,2.3839885437174457,31.4375,17.0625,3.146517510852171,0.7683044955645812,-0.1926509189887121,4.0,1.0,3.0,10.0,14,2,0,0.875,NFC,West,True,True,2,True,False,20.75,-0.0211826847437092,1.0839177431366642
2007,NE,13.855022199059412,2.511519083784333,2.7265916883667005,75.11519083784333,19.6875,2.7514655617568247,36.8125,17.125,3.075030914787432,1.3644710841161285,0.0217751648556257,3.0,1.0,3.0,5.666666666666667,16,0,0,1.0,AFC,East,True,True,2,True,False,24.0,0.7598976753697985,1.2245356267981289
1983,WSH,7.565895317742873,2.3732926236099634,2.471476007711044,73.73292623609963,13.0625,2.4173102180628496,33.8125,20.75,2.6861353469335763,0.3353801967001395,0.0620490382900618,3.0,0.6666666666666666,3.0,6.0,14,2,0,0.875,NFC,East,True,True,2,True,False,19.75,-0.6064608473272093,1.1669678881634538
1995,SF,7.029242756355624,2.207225126462559,2.387072362677877,72.07225126462559,12.4375,2.387514906251568,28.5625,16.125,1.9813072915688823,2.1879308609824437,-0.0983085360648656,1.0,1.0,1.0,-10.0,11,5,0,0.6875,NFC,West,True,False,0,False,False,8.875,-0.6703862208875785,1.0424287773465797
1998,MIN,10.950435294683476,2.1580933656190884,2.51981211614741,71.58093365619088,16.25,2.375253127131066,34.75,18.5,2.6552278491043664,0.9293212661011472,-0.2429745756201,,,2.0,8.5,15,1,0,0.9375,NFC,Central,True,True,1,False,False,14.375,-0.0690968080547533,1.1446054003338504
2023,BAL,7.633785629100761,2.138798220475836,2.441182678939377,71.38798220475836,11.941176470588236,2.060926981715709,28.41176470588235,16.470588235294116,1.5966093746490009,1.8335544549400935,0.1035551927558581,1.0,1.0,2.0,8.5,13,4,0,0.7647058823529411,AFC,North,True,True,1,False,False,12.647058823529411,0.7716078325044693,1.017019270265308
1994,DAL,7.107534308415631,2.135709271466362,2.37151704896253,71.35709271466362,10.375,1.98754041948222,25.875,15.5,1.553918356314829,1.514774322125741,-0.0456274976998192,3.0,0.3333333333333333,2.0,8.0,12,4,0,0.75,NFC,East,True,False,1,False,False,11.5,-0.387080413749618,1.112987438996322
2010,NE,9.0299102094407,2.1185358068930755,2.779102242985228,71.18535806893075,12.8125,2.1476494241678474,32.375,19.5625,2.6124902388608966,0.6851512969594415,0.3312685303757932,5.0,0.8,1.0,-7.0,14,2,0,0.875,AFC,East,True,True,0,False,False,11.75,1.7103224332008404,1.1918487310151384
1979,LAC,5.920263562778229,2.091561629866044,2.449105968915901,70.91561629866044,10.3125,2.1826220625900485,25.6875,15.375,1.643582689742927,1.4607268185554816,0.1619337692292115,1.0,1.0,1.0,-3.0,12,4,0,0.75,AFC,West,True,True,0,False,False,10.5,2.66314718154792,1.1141229422059864
1970,MIN,9.219801773906672,1.9831785632027965,2.9830148330973025,69.83178563202796,13.714285714285714,1.95410358486579,23.928571428571427,10.214285714285714,1.1938602606298554,2.507052839302854,0.074289701849991,4.0,1.0,1.0,-3.0,12,2,0,0.8571428571428571,NFC,Central,True,True,0,False,False,11.571428571428571,-3.7129897839446806,1.4727304639126562
2022,PHI,6.138215932579547,1.9742176728368264,2.118076263719173,69.74217672836826,7.823529411764706,1.6139557685695956,28.058823529411764,20.235294117647054,1.6739566332254825,0.6626579843399114,-0.2659076751646471,2.0,0.5,3.0,17.333333333333332,14,3,0,0.8235294117647058,NFC,East,True,True,2,True,False,20.235294117647054,0.3672042493099258,0.896179250741216
1987,SF,5.521022966550318,1.963504056479164,2.519623490367946,69.63504056479164,13.733333333333333,2.31610055197229,30.6,16.866666666666667,2.442782222076166,1.4984750857646116,-0.2324037614587482,3.0,0.6666666666666666,1.0,-12.0,13,2,0,0.8666666666666667,NFC,West,True,True,0,False,False,11.666666666666668,0.2787443658699997,1.1448593576045638
2023,SF,6.939223853769367,1.9441991629091229,2.390808370390596,69.44199162909123,11.352941176470589,1.9594034850794677,28.88235294117647,17.529411764705884,1.709706220224581,1.4670980475683044,-0.0980269715208059,2.0,0.5,3.0,1.0,12,5,0,0.7058823529411765,NFC,West,True,False,2,True,False,17.058823529411764,0.7716078325044693,1.017019270265308
1993,SF,6.235395481349029,1.9028633000427584,2.438565705672868,69.02863300042759,11.125,2.008759212376239,29.5625,18.4375,2.858819632436727,0.0881003365187322,-0.2785138984849565,2.0,0.0,2.0,12.0,10,6,0,0.625,NFC,West,True,False,1,False,False,11.25,-0.2383381861073559,1.1412058941872836
