season,franchise,bayes_rating,bayes_rating_z,bayes_rating_se,bayes_rating_display,avg_margin,dominance_z,points_for_per_game,points_against_per_game,offense_z,defense_z,schedule_difficulty,elite_opponents_played,record_vs_elite_win_pct,playoff_games,playoff_avg_margin,wins,losses,ties,win_pct,conference,division,division_title,conference_best_record,playoff_wins,reached_super_bowl,won_super_bowl,acc,csi,csi_se
1996,GB,10.918816758931875,2.8887823993153763,2.446932321835938,78.88782399315376,15.375,2.6527993270630943,28.5,13.125,2.474412316014049,1.8458659267705844,-0.1010968306850704,2.0,1.0,3.0,17.333333333333332,13,3,0,0.8125,NFC,Central,True,True,3,True,True,26.125,0.3940957023978184,1.117791477627547
1985,CHI,12.074780354299326,2.7890764295234343,2.5969073454630465,77.89076429523433,16.125,2.530150128199061,28.5,12.375,1.8103100690505505,2.331479761689053,-0.0798898829259594,3.0,1.0,3.0,27.0,15,1,0,0.9375,NFC,Central,True,True,3,True,True,27.375,0.5608944939518267,1.264204673889697
1994,SF,9.10424520850722,2.7356914589197974,2.3264520916638385,77.35691458919797,13.0625,2.5023852269384577,31.5625,18.5,3.126975158813909,0.5594215821271504,-0.2430217701679197,1.0,1.0,3.0,20.666666666666668,13,3,0,0.8125,NFC,West,True,True,3,True,True,26.125,-0.387080413749618,1.112987438996322
1978,PIT,6.4412914675523965,2.5759370262588144,2.176666384982768,75.75937026258813,10.0625,2.122335276948123,22.25,12.1875,1.3317350942421962,1.935431901208708,-0.3697350366466888,,,3.0,18.666666666666668,14,2,0,0.875,AFC,Central,True,True,3,True,True,26.75,0.741146650384654,1.0045575974923668
1989,SF,9.88195461002977,2.57152387710604,2.4766268239192764,75.7152387710604,11.8125,1.953837841095148,27.625,15.8125,1.9434470407482656,1.3313549462832248,-0.1456996217051255,3.0,0.6666666666666666,3.0,33.333333333333336,14,2,0,0.875,NFC,West,True,True,3,True,True,26.75,-0.6315376433887863,1.1971566493940262
1991,WSH,12.873301525049287,2.4295411034490737,2.5788431552826068,74.29541103449074,16.3125,2.364748885655783,30.3125,14.0,2.492003189920871,1.5029591382313454,-0.0351376329583192,1.0,1.0,3.0,20.33333333333333,14,2,0,0.875,NFC,East,True,True,3,True,True,26.75,-2.332453620513073,1.266097411757476
1979,PIT,6.766246624224516,2.390437801859866,2.3688357120302146,73.90437801859866,9.625,2.037113925084045,26.0,16.375,1.7349290877437251,1.1492534179306095,0.2859880203340318,1.0,0.0,3.0,15.333333333333334,12,4,0,0.75,AFC,Central,True,False,3,True,True,24.5,2.66314718154792,1.1141229422059864
1997,DEN,7.681535287134567,2.3558508422750783,2.354534445360656,73.55850842275078,11.5625,2.1240621377913467,29.5,17.9375,2.7435327859828766,0.8733320758719255,-0.1371922851243169,4.0,0.5,4.0,9.75,12,4,0,0.75,AFC,West,False,False,4,True,True,23.5,0.9040552913155347,1.0741346590046623
2002,TB,8.98708581364852,2.3484405540553497,2.4865370268701232,73.4844055405535,9.375,1.7176401407297666,21.625,12.25,-0.0128741816195962,2.7476512563955606,-0.0430121288508052,3.0,0.6666666666666666,3.0,23.0,12,4,0,0.75,NFC,South,True,False,3,True,True,24.5,0.7686671160509174,1.1061965906203703
2004,NE,10.480764966222196,2.333444080186985,2.62027267273943,73.33444080186985,11.0625,1.9676841738808424,27.3125,16.25,1.3580617139348707,1.425686819115484,0.2167913882358121,6.0,0.8333333333333334,3.0,11.333333333333334,14,2,0,0.875,AFC,East,True,False,3,True,True,25.75,4.683885483688584,1.1764945664377522
1999,LAR,10.384148398212194,2.316797663834999,2.4937520271820395,73.16797663834998,17.75,2.696172918235874,32.875,15.125,2.9057239498745315,1.491479177137068,-0.8275211372309823,,,3.0,8.0,13,3,0,0.8125,NFC,West,True,True,3,True,True,25.125,1.5802039989124532,1.1471536300280298
2025,SEA,10.675388680926789,2.2970438088936502,2.5080383314394115,72.9704380889365,11.235294117647058,1.8270820731858908,28.41176470588235,17.176470588235293,1.321784989228317,1.6406976111932694,0.1377699872267962,4.0,0.75,3.0,18.33333333333333,14,3,0,0.8235294117647058,NFC,West,True,True,3,True,True,26.235294117647054,-0.7979405847375264,1.0660030947536814
2013,SEA,11.032080698401591,2.2946585352779585,2.5375505098123057,72.94658535277958,11.625,1.8082076587226557,26.0625,14.4375,0.6188289121168754,2.2337636794057723,0.1208979253186242,4.0,0.75,3.0,16.333333333333332,13,3,0,0.8125,NFC,West,True,True,3,True,True,26.125,-1.5171588314372255,1.137050550061414
1992,DAL,8.927910754957047,2.214859994825992,2.7163421847903697,72.14859994825991,10.375,1.664082007518246,25.5625,15.1875,1.7215126231526772,1.053207574839968,-0.1211193919586682,2.0,0.5,3.0,23.0,13,3,0,0.8125,NFC,East,True,False,3,True,True,25.125,-2.1031424304051107,1.3091335129720951
2016,NE,7.979015974258378,2.1635826076719047,2.3007291448038494,71.63582607671904,11.9375,2.247321285545648,27.5625,15.625,1.1791954800056634,2.1477438695259825,-0.444279899004026,,,3.0,14.333333333333334,14,2,0,0.875,AFC,East,True,True,3,True,True,26.75,0.0866589209421107,1.0232735935539905
