season,csi,csi_se,ci95_lower,ci95_upper,n_afc,n_nfc,stronger_conference,best_afc,best_nfc
2004,4.683885483688584,1.1764945664377522,2.3779985054635238,6.989772461913644,16,16,AFC,NE (2.33),PHI (1.24)
1970,-3.7129897839446806,1.4727304639126562,-6.599488452148453,-0.8264911157409087,13,13,NFC,IND (0.64),MIN (1.98)
2012,-3.1294052208700003,1.1896743973696318,-5.461124193043871,-0.7976862486961291,16,16,NFC,NE (1.77),SEA (1.51)
1979,2.66314718154792,1.1141229422059864,0.4795063404743866,4.846788022621453,14,14,AFC,PIT (2.39),DAL (0.66)
2006,2.379316977950273,1.1043834809846438,0.2147651300993955,4.54386882580115,16,16,AFC,LAC (1.89),CHI (1.63)
1991,-2.332453620513073,1.266097411757476,-4.813958948477104,0.1490517074509587,14,14,NFC,TEN (1.16),WSH (2.43)
2017,-2.1332481106843653,1.128717289714251,-4.345493347251959,0.0789971258832284,16,16,NFC,NE (1.69),PHI (2.00)
1992,-2.1031424304051107,1.3091335129720951,-4.6689969667848175,0.462712105974596,14,14,NFC,TEN (0.97),DAL (2.21)
1975,1.853956294892928,1.493357368672337,-1.0729703637523558,4.780882953538212,13,13,AFC,PIT (1.90),MIN (1.24)
2010,1.7103224332008404,1.1918487310151384,-0.6256581546085973,4.046303021010278,16,16,AFC,NE (2.12),GB (1.98)
1977,1.7030935731295196,1.4127964686021142,-1.0659366228159974,4.472123769075036,14,14,AFC,DEN (1.63),DAL (1.91)
1999,1.5802039989124532,1.1471536300280298,-0.6681758006768712,3.8285837985017777,16,15,AFC,JAX (1.26),LAR (2.32)
2013,-1.5171588314372255,1.137050550061414,-3.7457369581590543,0.711419295284603,16,16,NFC,DEN (1.71),SEA (2.29)
2005,1.4729109008216883,1.1419921162499402,-0.765352517656873,3.71117431930025,16,16,AFC,IND (1.73),SEA (1.39)
2000,1.338791167739836,1.1705753336996267,-0.9554943275023882,3.63307666298206,16,15,AFC,BAL (1.89),TB (0.83)
