season,franchise,bayes_rating,bayes_rating_z,bayes_rating_se,bayes_rating_display,avg_margin,dominance_z,points_for_per_game,points_against_per_game,offense_z,defense_z,schedule_difficulty,elite_opponents_played,record_vs_elite_win_pct,playoff_games,playoff_avg_margin,wins,losses,ties,win_pct,conference,division,division_title,conference_best_record,playoff_wins,reached_super_bowl,won_super_bowl,acc,csi,csi_se
1978,DAL,6.307562561333649,2.522457496145133,2.1754336616710908,75.22457496145134,11.0,2.320068377284905,24.0,13.0,1.9266526520119287,1.6795302622548505,-0.1064879575454472,1.0,0.0,3.0,10.333333333333334,12,4,0,0.75,NFC,East,True,True,2,True,False,19.5,0.741146650384654,1.0045575974923668
2001,LAR,9.105138800435586,2.51352590312949,2.403326002873239,75.13525903129491,14.375,2.3839885437174457,31.4375,17.0625,3.146517510852171,0.7683044955645812,-0.1926509189887121,4.0,1.0,3.0,10.0,14,2,0,0.875,NFC,West,True,True,2,True,False,20.75,-0.0211826847437092,1.0839177431366642
2007,NE,13.855022199059412,2.511519083784333,2.7265916883667005,75.11519083784333,19.6875,2.7514655617568247,36.8125,17.125,3.075030914787432,1.3644710841161285,0.0217751648556257,3.0,1.0,3.0,5.666666666666667,16,0,0,1.0,AFC,East,True,True,2,True,False,24.0,0.7598976753697985,1.2245356267981289
1983,WSH,7.565895317742873,2.3732926236099634,2.471476007711044,73.73292623609963,13.0625,2.4173102180628496,33.8125,20.75,2.6861353469335763,0.3353801967001395,0.0620490382900618,3.0,0.6666666666666666,3.0,6.0,14,2,0,0.875,NFC,East,True,True,2,True,False,19.75,-0.6064608473272093,1.1669678881634538
2022,PHI,6.138215932579547,1.9742176728368264,2.118076263719173,69.74217672836826,7.823529411764706,1.6139557685695956,28.058823529411764,20.235294117647054,1.6739566332254825,0.6626579843399114,-0.2659076751646471,2.0,0.5,3.0,17.333333333333332,14,3,0,0.8235294117647058,NFC,East,True,True,2,True,False,20.235294117647054,0.3672042493099258,0.896179250741216
2023,SF,6.939223853769367,1.9441991629091229,2.390808370390596,69.44199162909123,11.352941176470589,1.9594034850794677,28.88235294117647,17.529411764705884,1.709706220224581,1.4670980475683044,-0.0980269715208059,2.0,0.5,3.0,1.0,12,5,0,0.7058823529411765,NFC,West,True,False,2,True,False,17.058823529411764,0.7716078325044693,1.017019270265308
2016,ATL,6.961070237740407,1.8875573812292727,2.301028044118601,68.87557381229273,8.375,1.576654723890664,33.75,25.375,2.7033453293153094,-0.7808377739249065,0.0217202538936482,,,3.0,11.0,11,5,0,0.6875,NFC,South,True,False,2,True,False,17.875,0.0866589209421107,1.0232735935539905
2019,SF,8.090337444914852,1.7875097359771954,2.556949946479335,67.87509735977196,10.5625,1.5943174519072816,29.9375,19.375,1.717005725062981,0.8554549663021497,-0.029486664732237,2.0,0.5,3.0,7.666666666666667,13,3,0,0.8125,NFC,West,True,True,2,True,False,19.125,-0.3692548828261404,1.14899029136628
2002,OAK,6.765648659582028,1.7679505922289898,2.4925122633031576,67.6795059222899,9.125,1.6718364036436393,28.125,19.0,1.700936875581059,0.7795926569959631,0.147168479567098,,,3.0,3.333333333333333,11,5,0,0.6875,AFC,West,True,True,2,True,False,17.875,0.7686671160509174,1.1061965906203703
2011,NE,7.100431230339414,1.7643228558517112,2.5434479763295808,67.64322855851711,10.6875,1.5764930838773268,32.0625,21.375,1.8294889516248516,0.2138720732497054,-0.1544537219423242,,,3.0,11.333333333333334,13,3,0,0.8125,AFC,East,True,True,2,True,False,20.125,-0.6858366202586631,1.1255412780920548
1997,GB,5.720313560444928,1.7543635504769968,2.3909997909315925,67.54363550476997,8.75,1.6073983745448028,26.375,17.625,1.7643990293865612,0.9705850910024296,-0.2582251479190469,1.0,1.0,3.0,6.666666666666667,13,3,0,0.8125,NFC,Central,True,True,2,True,False,19.125,0.9040552913155347,1.0741346590046623
2015,CAR,7.821775080117536,1.7464031991806677,2.569284378391268,67.46403199180668,12.0,2.000379882511193,31.25,19.25,2.252053589318544,1.0292116485069107,-0.4983564177173902,1.0,1.0,3.0,9.0,15,1,0,0.9375,NFC,South,True,True,2,True,False,20.375,0.0719797102852821,1.1562448923991002
1980,PHI,6.123543624191239,1.721480000897016,2.3794059470837063,67.21480000897016,10.125,1.684376283471508,24.0,13.875,0.94364711895549,1.8006548157604665,-0.1152374336176893,4.0,0.5,3.0,3.6666666666666665,12,4,0,0.75,NFC,East,True,True,2,True,False,18.5,0.8576106887543675,1.1382587018351011
2013,DEN,8.218556622844465,1.7094491617531082,2.534340407901378,67.09449161753108,12.9375,2.0123601363203747,37.875,24.9375,3.372822481272771,-0.3808049120345568,-0.2128288126754654,3.0,0.6666666666666666,3.0,-6.0,13,3,0,0.8125,AFC,West,True,True,2,True,False,19.125,-1.5171588314372255,1.137050550061414
1990,BUF,6.688718900978456,1.707543699459306,2.5680621821137826,67.07543699459306,10.3125,1.6089167865168512,26.75,16.4375,1.8990943267197824,0.9093015932059884,-0.2865682012992008,1.0,1.0,3.0,19.0,13,3,0,0.8125,AFC,East,True,True,2,True,False,20.125,-0.1065604410082329,1.2328903356490677
