season,franchise,bayes_rating_z,wins,losses,ties,win_pct,point_diff,point_diff_per_game,win_pct_z,residual
2012,IND,-0.6295835025343333,11,5,0,0.6875,-30,-1.875,0.9839040740289453,-1.6134875765632786
2022,MIN,-0.1108983812580224,13,4,0,0.7647058823529411,-3,-0.17647058823529413,1.4572280389988483,-1.5681264202568708
1992,IND,-0.9623373985396648,9,7,0,0.5625,-86,-5.375,0.3075623426146228,-1.2698997411542876
2023,PHI,-0.2032378773084711,11,6,0,0.6470588235294118,5,0.29411764705882354,0.9245003270420487,-1.1277382043505197
2018,MIA,-1.449022750626623,7,9,0,0.4375,-114,-7.125,-0.35149982013099745,-1.0975229304956255
1978,ATL,-0.7095267665830693,9,7,0,0.5625,-50,-3.125,0.369124696224095,-1.0786514628071644
1998,ARI,-0.7738335169658249,9,7,0,0.5625,-53,-3.3125,0.2970442628930023,-1.0708777798588272
2024,KC,0.7106226501038763,15,2,0,0.8823529411764706,59,3.4705882352941178,1.7814906455515822,-1.0708679954477058
2019,GB,0.5465983903744146,13,3,0,0.8125,63,3.9375,1.6025661604300079,-1.0559677700555934
2002,GB,0.4975298379129231,12,4,0,0.75,70,4.375,1.5378218602630807,-1.0402920223501575
2016,MIA,-0.3928207538047037,10,6,0,0.625,-17,-1.0625,0.6344412685745153,-1.027262022379219
2021,OAK,-0.4977881468496182,10,7,0,0.5882352941176471,-65,-3.823529411764706,0.5287831790870782,-1.0265713259366964
2004,LAR,-0.997869162195702,8,8,0,0.5,-73,-4.5625,0.0,-0.997869162195702
1982,CIN,0.3292004569286706,7,2,0,0.7777777777777778,55,6.111111111111111,1.3261952985323262,-0.9969948416036556
2025,DEN,0.6176677954532654,14,3,0,0.8235294117647058,90,5.294117647058823,1.6142034441435167,-0.9965356486902512
