season,teams,schedule_length,strike_season,note
1970,26,14,False,
1971,26,14,False,
1972,26,14,False,
1973,26,14,False,
1974,26,14,False,
1975,26,14,False,
1976,28,14,False,
1977,28,14,False,
1978,28,16,False,
1979,28,16,False,
1980,28,16,False,
1981,28,16,False,
1982,28,9,True,"9-game regular season, 16-team expanded playoff tournament."
1983,28,16,False,
1984,28,16,False,
1985,28,16,False,
1986,28,16,False,
1987,28,15,True,15-game regular season (one week cancelled outright); 3 of the 15 weeks played with replacement players.
1988,28,16,False,
1989,28,16,False,
1990,28,16,False,
1991,28,16,False,
1992,28,16,False,
1993,28,16,False,
1994,28,16,False,
1995,30,16,False,
1996,30,16,False,
1997,30,16,False,
1998,30,16,False,
1999,31,16,False,
2000,31,16,False,
2001,31,16,False,
2002,32,16,False,
2003,32,16,False,
2004,32,16,False,
2005,32,16,False,
2006,32,16,False,
2007,32,16,False,
2008,32,16,False,
2009,32,16,False,
2010,32,16,False,
2011,32,16,False,
2012,32,16,False,
2013,32,16,False,
2014,32,16,False,
2015,32,16,False,
2016,32,16,False,
2017,32,16,False,
2018,32,16,False,
2019,32,16,False,
2020,32,16,False,
2021,32,17,False,
2022,32,17,False,
2023,32,17,False,
2024,32,17,False,
2025,32,17,False,
