season,franchise,conference,division
1970,CIN,AFC,Central
1970,CLE,AFC,Central
1970,PIT,AFC,Central
1970,TEN,AFC,Central
1970,BUF,AFC,East
1970,IND,AFC,East
1970,MIA,AFC,East
1970,NE,AFC,East
1970,NYJ,AFC,East
1970,DEN,AFC,West
1970,KC,AFC,West
1970,LAC,AFC,West
1970,OAK,AFC,West
1970,CHI,NFC,Central
1970,DET,NFC,Central
1970,GB,NFC,Central
1970,MIN,NFC,Central
1970,ARI,NFC,East
1970,DAL,NFC,East
1970,NYG,NFC,East
1970,PHI,NFC,East
1970,WSH,NFC,East
1970,ATL,NFC,West
1970,LAR,NFC,West
1970,NO,NFC,West
1970,SF,NFC,West
1971,CIN,AFC,Central
1971,CLE,AFC,Central
1971,PIT,AFC,Central
1971,TEN,AFC,Central
1971,BUF,AFC,East
1971,IND,AFC,East
1971,MIA,AFC,East
1971,NE,AFC,East
1971,NYJ,AFC,East
1971,DEN,AFC,West
1971,KC,AFC,West
1971,LAC,AFC,West
1971,OAK,AFC,West
1971,CHI,NFC,Central
1971,DET,NFC,Central
1971,GB,NFC,Central
1971,MIN,NFC,Central
1971,ARI,NFC,East
1971,DAL,NFC,East
1971,NYG,NFC,East
1971,PHI,NFC,East
1971,WSH,NFC,East
1971,ATL,NFC,West
1971,LAR,NFC,West
1971,NO,NFC,West
1971,SF,NFC,West
1972,CIN,AFC,Central
1972,CLE,AFC,Central
1972,PIT,AFC,Central
1972,TEN,AFC,Central
1972,BUF,AFC,East
1972,IND,AFC,East
1972,MIA,AFC,East
1972,NE,AFC,East
1972,NYJ,AFC,East
1972,DEN,AFC,West
1972,KC,AFC,West
1972,LAC,AFC,West
1972,OAK,AFC,West
1972,CHI,NFC,Central
1972,DET,NFC,Central
1972,GB,NFC,Central
1972,MIN,NFC,Central
1972,ARI,NFC,East
1972,DAL,NFC,East
1972,NYG,NFC,East
1972,PHI,NFC,East
1972,WSH,NFC,East
1972,ATL,NFC,West
1972,LAR,NFC,West
1972,NO,NFC,West
1972,SF,NFC,West
1973,CIN,AFC,Central
1973,CLE,AFC,Central
1973,PIT,AFC,Central
1973,TEN,AFC,Central
1973,BUF,AFC,East
1973,IND,AFC,East
1973,MIA,AFC,East
1973,NE,AFC,East
1973,NYJ,AFC,East
1973,DEN,AFC,West
1973,KC,AFC,West
1973,LAC,AFC,West
1973,OAK,AFC,West
1973,CHI,NFC,Central
1973,DET,NFC,Central
1973,GB,NFC,Central
1973,MIN,NFC,Central
1973,ARI,NFC,East
1973,DAL,NFC,East
1973,NYG,NFC,East
1973,PHI,NFC,East
1973,WSH,NFC,East
1973,ATL,NFC,West
1973,LAR,NFC,West
1973,NO,NFC,West
1973,SF,NFC,West
1974,CIN,AFC,Central
1974,CLE,AFC,Central
1974,PIT,AFC,Central
1974,TEN,AFC,Central
1974,BUF,AFC,East
1974,IND,AFC,East
1974,MIA,AFC,East
1974,NE,AFC,East
1974,NYJ,AFC,East
1974,DEN,AFC,West
1974,KC,AFC,West
1974,LAC,AFC,West
1974,OAK,AFC,West
1974,CHI,NFC,Central
1974,DET,NFC,Central
1974,GB,NFC,Central
1974,MIN,NFC,Central
1974,ARI,NFC,East
1974,DAL,NFC,East
1974,NYG,NFC,East
1974,PHI,NFC,East
1974,WSH,NFC,East
1974,ATL,NFC,West
1974,LAR,NFC,West
1974,NO,NFC,West
1974,SF,NFC,West
1975,CIN,AFC,Central
1975,CLE,AFC,Central
1975,PIT,AFC,Central
1975,TEN,AFC,Central
1975,BUF,AFC,East
1975,IND,AFC,East
1975,MIA,AFC,East
1975,NE,AFC,East
1975,NYJ,AFC,East
1975,DEN,AFC,West
1975,KC,AFC,West
1975,LAC,AFC,West
1975,OAK,AFC,West
1975,CHI,NFC,Central
1975,DET,NFC,Central
1975,GB,NFC,Central
1975,MIN,NFC,Central
1975,ARI,NFC,East
1975,DAL,NFC,East
1975,NYG,NFC,East
1975,PHI,NFC,East
1975,WSH,NFC,East
1975,ATL,NFC,West
1975,LAR,NFC,West
1975,NO,NFC,West
1975,SF,NFC,West
1976,CIN,AFC,Central
1976,CLE,AFC,Central
1976,PIT,AFC,Central
1976,TEN,AFC,Central
1976,BUF,AFC,East
1976,IND,AFC,East
1976,MIA,AFC,East
1976,NE,AFC,East
1976,NYJ,AFC,East
1976,DEN,AFC,West
1976,KC,AFC,West
1976,LAC,AFC,West
1976,OAK,AFC,West
1976,TB,AFC,West
1976,CHI,NFC,Central
1976,DET,NFC,Central
1976,GB,NFC,Central
1976,MIN,NFC,Central
1976,ARI,NFC,East
1976,DAL,NFC,East
1976,NYG,NFC,East
1976,PHI,NFC,East
1976,WSH,NFC,East
1976,ATL,NFC,West
1976,LAR,NFC,West
1976,NO,NFC,West
1976,SEA,NFC,West
1976,SF,NFC,West
1977,CIN,AFC,Central
1977,CLE,AFC,Central
1977,PIT,AFC,Central
1977,TEN,AFC,Central
1977,BUF,AFC,East
1977,IND,AFC,East
1977,MIA,AFC,East
1977,NE,AFC,East
1977,NYJ,AFC,East
1977,DEN,AFC,West
