season,n_games,points_per_explosive,points_per_explosive_se,points_per_turnover,points_per_turnover_se,exchange_ratio_turnover_to_explosive,exchange_ratio_se,r2_epd_only,r2_tod_only,r2_both,points_per_explosive_alone,points_per_explosive_alone_se,points_per_turnover_alone,points_per_turnover_alone_se
1999,247,1.8789735598342638,0.1959513418515488,-3.74364858361961,0.27722547173349743,-1.9923902409514591,0.25923131429748864,0.19287174517604222,0.36402316634312293,0.5380889412448637,1.9765278597040052,0.25831930784438945,-3.8416521295012704,0.3244076824334662
2000,246,1.7368102034467874,0.1749342655907703,-3.602894859169144,0.2924302608182467,-2.0744321123972083,0.281435033408213,0.24270004588465077,0.34479299729457824,0.5338752727883727,1.9573820267160327,0.22135009822865018,-3.900024280684715,0.3441774752978539
2001,248,1.4521573704665962,0.16749633118558735,-3.401235872114484,0.2984327901518536,-2.342195096266753,0.36195817400486296,0.22379972287437988,0.33710854529052015,0.49273559207848083,1.7237013485984845,0.204668776029633,-3.769279743121298,0.3369978626948771
2002,256,1.557859172739903,0.15844644510877046,-3.6903395271668096,0.28147485776313597,-2.3688530977266593,0.32436337203886806,0.25908064152889454,0.39025033012571153,0.5588220363159199,1.904273439488032,0.20206004286930146,-4.151839688891471,0.3256325912817822
2003,256,1.4623571798769108,0.16086084874685774,-4.0000644016212625,0.2849336953949317,-2.7353538907354733,0.38439053602844814,0.22872433338450837,0.4248304546575199,0.5664504142795523,1.8332050090440506,0.21122377815208432,-4.4254366265864205,0.32309436801305197
2004,256,1.6727071824671698,0.16754509690742833,-3.5377996388196498,0.28444483145577193,-2.115014316852248,0.2933124154537494,0.2698175131360988,0.3683592227711072,0.5468742023756974,2.0265792525620694,0.20918347459492584,-4.020042294835936,0.33030341940245406
2005,256,1.6591453582799378,0.17226478845388088,-3.904373596065967,0.29709070759288625,-2.353243841222985,0.32497198694486906,0.24836132009621137,0.3895203600918622,0.5533031352390779,2.017372723894463,0.22020737864125223,-4.357142857142857,0.342259452824204
2006,256,1.4407182416532707,0.1635056838827166,-3.990666049585862,0.28814604699539986,-2.7699142928921647,0.3963453216790603,0.21201402461295593,0.414261925412856,0.551805038549332,1.7697366488255668,0.21407637156722767,-4.359570154095701,0.3252677686081624
2007,256,2.019284505570448,0.18821684718781928,-3.3396259105809825,0.3223146715879525,-1.653865961615715,0.24801614494628468,0.3439794025573447,0.3298845190417964,0.539421664064061,2.505514556950878,0.21710638236415317,-4.201779516280095,0.37575975079202206
2008,256,1.9381898404840205,0.1756419194153788,-4.012064605649794,0.324393709792992,-2.0700060034613887,0.2672293351047597,0.2863048970200196,0.34114773678923827,0.5552202014849843,2.222215081912506,0.2201462047264229,-4.480094757568299,0.3906547553829798
2009,256,1.8309098798328973,0.1842495127652742,-4.455635357365794,0.34110602400810375,-2.4335634464829305,0.341671672188731,0.3006354079424506,0.4192989902010533,0.5823202214783934,2.412640696044132,0.2308912881223098,-5.274940119760479,0.389506812598586
2010,256,1.580098240838415,0.18008276190947842,-3.8996481987637748,0.3082439340578574,-2.467978318040899,0.36334191607742894,0.21331587249980455,0.3715166984319793,0.5181455017090989,1.8883168226847222,0.22753416249803424,-4.265548081307687,0.3481093478888983
2011,256,1.6551330933202226,0.18803517196696445,-4.6181000221200685,0.35626626673443534,-2.790168380269703,0.3969990820004959,0.18755719262109116,0.36228255519548036,0.5117928968377232,1.847993242427899,0.24133096962281986,-4.866232326032714,0.4051038947900398
