era,category,n_games,win_rate
1999-2007,won_both,951,0.9022082018927445
1999-2007,won_explosive_lost_turnover,701,0.3459343794579173
1999-2007,explosive_only,389,0.7275064267352185
1999-2007,turnover_only,193,0.8082901554404145
1999-2007,both_even,43,
2008-2016,won_both,921,0.9055374592833876
2008-2016,won_explosive_lost_turnover,693,0.4083694083694084
2008-2016,explosive_only,410,0.6670731707317074
2008-2016,turnover_only,231,0.829004329004329
2008-2016,both_even,49,
2017-2025,won_both,904,0.8910398230088495
2017-2025,won_explosive_lost_turnover,692,0.38222543352601157
2017-2025,explosive_only,500,0.725
2017-2025,turnover_only,230,0.8239130434782609
2017-2025,both_even,57,
ALL,won_both,2776,0.8996757925072046
ALL,won_explosive_lost_turnover,2086,0.37871524448705657
ALL,explosive_only,1299,0.7074672825250192
ALL,turnover_only,654,0.8211009174311926
ALL,both_even,149,
