season,category,n_games,win_rate
1999,won_both,94,0.8829787234042553
1999,won_explosive_lost_turnover,91,0.3626373626373626
1999,explosive_only,37,0.6486486486486487
1999,turnover_only,17,0.8823529411764706
1999,both_even,8,
2000,won_both,105,0.9238095238095239
2000,won_explosive_lost_turnover,74,0.3783783783783784
2000,explosive_only,36,0.75
2000,turnover_only,29,0.8620689655172413
2000,both_even,2,
2001,won_both,94,0.8617021276595744
2001,won_explosive_lost_turnover,83,0.42168674698795183
2001,explosive_only,49,0.7959183673469388
2001,turnover_only,21,0.6190476190476191
2001,both_even,1,
2002,won_both,106,0.9245283018867925
2002,won_explosive_lost_turnover,79,0.34810126582278483
2002,explosive_only,39,0.717948717948718
2002,turnover_only,28,0.8571428571428571
2002,both_even,4,
2003,won_both,117,0.9145299145299145
2003,won_explosive_lost_turnover,73,0.3561643835616438
2003,explosive_only,46,0.6739130434782609
2003,turnover_only,14,0.7857142857142857
2003,both_even,6,
2004,won_both,102,0.9607843137254902
2004,won_explosive_lost_turnover,73,0.4246575342465753
2004,explosive_only,49,0.673469387755102
2004,turnover_only,28,0.7857142857142857
2004,both_even,4,
2005,won_both,107,0.8504672897196262
2005,won_explosive_lost_turnover,78,0.2692307692307692
2005,explosive_only,49,0.7346938775510204
2005,turnover_only,15,0.8
2005,both_even,7,
2006,won_both,112,0.8928571428571429
2006,won_explosive_lost_turnover,86,0.26744186046511625
2006,explosive_only,37,0.8108108108108109
2006,turnover_only,18,0.8333333333333334
2006,both_even,3,
2007,won_both,114,0.9035087719298246
2007,won_explosive_lost_turnover,64,0.28125
2007,explosive_only,47,0.7446808510638298
2007,turnover_only,23,0.8260869565217391
2007,both_even,8,
2008,won_both,112,0.875
2008,won_explosive_lost_turnover,73,0.4246575342465753
2008,explosive_only,42,0.7380952380952381
2008,turnover_only,23,0.8043478260869565
2008,both_even,6,
2009,won_both,113,0.9292035398230089
2009,won_explosive_lost_turnover,73,0.4383561643835616
2009,explosive_only,36,0.75
2009,turnover_only,25,0.68
2009,both_even,9,
2010,won_both,117,0.905982905982906
2010,won_explosive_lost_turnover,75,0.36
2010,explosive_only,42,0.7380952380952381
2010,turnover_only,21,0.8095238095238095
2010,both_even,1,
2011,won_both,93,0.8817204301075269
2011,won_explosive_lost_turnover,82,0.36585365853658536
2011,explosive_only,53,0.6415094339622641
2011,turnover_only,24,0.9166666666666666
2011,both_even,4,
2012,won_both,96,0.9114583333333334
2012,won_explosive_lost_turnover,77,0.37662337662337664
2012,explosive_only,44,0.6363636363636364
2012,turnover_only,32,0.84375
2012,both_even,7,
2013,won_both,93,0.946236559139785
2013,won_explosive_lost_turnover,76,0.3618421052631579
2013,explosive_only,53,0.6415094339622641
2013,turnover_only,25,0.8
2013,both_even,9,
2014,won_both,106,0.8962264150943396
2014,won_explosive_lost_turnover,72,0.4513888888888889
2014,explosive_only,53,0.5471698113207547
2014,turnover_only,23,0.8260869565217391
2014,both_even,2,
2015,won_both,100,0.91
2015,won_explosive_lost_turnover,86,0.47674418604651164
2015,explosive_only,44,0.7954545454545454
2015,turnover_only,21,0.8571428571428571
2015,both_even,5,
2016,won_both,91,0.8956043956043956
2016,won_explosive_lost_turnover,79,0.4177215189873418
2016,explosive_only,43,0.5697674418604651
2016,turnover_only,37,0.8918918918918919
2016,both_even,6,
2017,won_both,94,0.925531914893617
2017,won_explosive_lost_turnover,75,0.4
2017,explosive_only,56,0.7142857142857143
2017,turnover_only,25,0.88
2017,both_even,6,
2018,won_both,96,0.9166666666666666
2018,won_explosive_lost_turnover,78,0.40384615384615385
2018,explosive_only,54,0.7592592592592593
2018,turnover_only,22,0.75
2018,both_even,6,
2019,won_both,92,0.8804347826086957
2019,won_explosive_lost_turnover,73,0.3767123287671233
2019,explosive_only,55,0.7818181818181819
2019,turnover_only,29,0.7241379310344828
2019,both_even,7,
2020,won_both,101,0.9207920792079208
2020,won_explosive_lost_turnover,73,0.3493150684931507
2020,explosive_only,52,0.7307692307692307
2020,turnover_only,25,0.92
2020,both_even,5,
2021,won_both,109,0.8853211009174312
2021,won_explosive_lost_turnover,72,0.3055555555555556
2021,explosive_only,56,0.6964285714285714
2021,turnover_only,26,0.7307692307692307
2021,both_even,9,
2022,won_both,96,0.8333333333333334
2022,won_explosive_lost_turnover,81,0.36419753086419754
2022,explosive_only,54,0.6388888888888888
2022,turnover_only,32,0.875
2022,both_even,8,
2023,won_both,104,0.875
2023,won_explosive_lost_turnover,92,0.44565217391304346
2023,explosive_only,47,0.8085106382978723
2023,turnover_only,22,0.9090909090909091
2023,both_even,7,
2024,won_both,110,0.8909090909090909
2024,won_explosive_lost_turnover,73,0.3972602739726027
2024,explosive_only,64,0.625
2024,turnover_only,18,0.7777777777777778
2024,both_even,7,
2025,won_both,102,0.8921568627450981
2025,won_explosive_lost_turnover,75,0.38
2025,explosive_only,62,0.7903225806451613
2025,turnover_only,31,0.8387096774193549
2025,both_even,2,
