era,category,n_games,win_rate
1999-2007,won_both,916,0.8908296943231441
1999-2007,won_explosive_lost_turnover,641,0.40249609984399376
1999-2007,explosive_only,470,0.7734042553191489
1999-2007,turnover_only,200,0.815
1999-2007,both_even,50,
2008-2016,won_both,848,0.9009433962264151
2008-2016,won_explosive_lost_turnover,658,0.45364741641337386
2008-2016,explosive_only,541,0.7365988909426987
2008-2016,turnover_only,205,0.8097560975609757
2008-2016,both_even,52,
2017-2025,won_both,842,0.8830166270783848
2017-2025,won_explosive_lost_turnover,658,0.4012158054711246
2017-2025,explosive_only,596,0.7760067114093959
2017-2025,turnover_only,224,0.7901785714285714
2017-2025,both_even,63,
ALL,won_both,2606,0.8915963161933999
ALL,won_explosive_lost_turnover,1957,0.4192641798671436
ALL,explosive_only,1607,0.7619788425637835
ALL,turnover_only,629,0.8044515103338633
ALL,both_even,165,
