franchise,season,era,games,wins,losses,ties,record,explosive_per_game,explosive_allowed_per_game,explosive_diff_per_game,explosive_rate_per_play,turnover_diff_per_game,points_per_game,margin_per_game,bayes_rating_z,won_super_bowl,reached_super_bowl
SEA,2014,2008-2016,16,12,4,0,12-4-0,8.5625,3.875,4.6875,0.13672654690618763,-0.5,24.625,8.75,1.5621814702478376,False,True
SF,2012,2008-2016,16,11,4,1,11-4-1,8.4375,4.25,4.1875,0.14150943396226415,-0.5625,24.8125,7.75,1.3512536830358128,False,True
SF,2023,2017-2025,17,12,5,0,12-5-0,8.764705882352942,4.9411764705882355,3.823529411764706,0.1495983935742972,-0.5882352941176471,28.88235294117647,11.352941176470589,1.9441991629091229,False,True
BAL,2019,2017-2025,16,14,2,0,14-2-0,8.875,5.125,3.75,0.1362763915547025,-0.625,33.1875,15.5625,1.8996067248548525,False,False
PIT,2001,1999-2007,16,13,3,0,13-3-0,8.375,4.6875,3.6875,0.12582159624413145,-0.4375,22.0,8.75,1.3629969917968636,False,False
BAL,2024,2017-2025,17,12,5,0,12-5-0,8.470588235294118,4.882352941176471,3.588235294117647,0.13859480269489893,-0.35294117647058826,30.470588235294116,9.235294117647058,1.683685680454067,False,False
PIT,2010,2008-2016,16,12,4,0,12-4-0,7.0,3.5625,3.4375,0.11534500514933059,-1.0,23.4375,8.9375,1.5739583100946564,False,True
PHI,2013,2008-2016,16,10,6,0,10-6-0,9.625,6.25,3.375,0.14807692307692308,-0.75,27.625,3.75,0.3098275868149977,False,False
BUF,2000,1999-2007,15,8,7,0,8-7-0,7.333333333333333,4.266666666666667,3.066666666666667,0.10869565217391304,-0.4666666666666667,20.133333333333333,-1.7333333333333334,-0.225803515301286,False,False
SEA,2015,2008-2016,16,10,6,0,10-6-0,7.5625,4.5,3.0625,0.11921182266009853,-0.4375,26.4375,9.125,1.59555430936235,False,False
DEN,2014,2008-2016,16,12,4,0,12-4-0,7.375,4.375,3.0,0.11281070745697896,-0.3125,30.125,8.0,1.3140569936146411,False,False
LAR,2001,1999-2007,16,14,2,0,14-2-0,8.0625,5.125,2.9375,0.1278493557978196,0.625,31.4375,14.375,2.51352590312949,False,True
