franchise,season,era,games,wins,losses,ties,record,explosive_per_game,explosive_allowed_per_game,explosive_diff_per_game,explosive_rate_per_play,turnover_diff_per_game,points_per_game,margin_per_game,bayes_rating_z,won_super_bowl,reached_super_bowl
PIT,2008,2008-2016,16,12,4,0,12-4-0,5.0625,3.125,1.9375,0.08124373119358075,-0.25,21.6875,7.75,1.5781047302028666,True,True
MIN,2017,2017-2025,16,13,3,0,13-3-0,6.3125,3.4375,2.875,0.097678916827853,-0.3125,23.875,8.125,1.254711071107709,False,False
PIT,2010,2008-2016,16,12,4,0,12-4-0,7.0,3.5625,3.4375,0.11534500514933059,-1.0,23.4375,8.9375,1.5739583100946564,False,True
BUF,2003,1999-2007,16,6,10,0,6-10-0,4.75,3.625,1.125,0.07818930041152264,1.0,15.1875,-2.25,-0.203414603452297,False,False
IND,2007,1999-2007,16,13,3,0,13-3-0,6.25,3.625,2.625,0.099601593625498,-1.125,28.125,11.75,1.6749448117279406,False,False
BAL,1999,1999-2007,15,8,7,0,8-7-0,5.266666666666667,3.6666666666666665,1.6,0.08263598326359832,0.13333333333333333,20.933333333333334,4.266666666666667,0.3354766476057244,False,False
BAL,2000,1999-2007,16,12,4,0,12-4-0,5.875,3.8125,2.0625,0.08943862987630828,-1.4375,20.8125,10.5,1.890862564037057,True,True
SEA,2014,2008-2016,16,12,4,0,12-4-0,8.5625,3.875,4.6875,0.13672654690618763,-0.5,24.625,8.75,1.5621814702478376,False,True
TB,2007,1999-2007,16,9,7,0,9-7-0,5.75,3.875,1.875,0.09633507853403141,-1.0625,20.875,4.0,0.1568594641800141,False,False
PIT,2012,2008-2016,16,8,8,0,8-8-0,5.875,3.875,2.0,0.09297725024727992,0.625,21.0,1.375,0.0672225184017386,False,False
WSH,2004,1999-2007,16,6,10,0,6-10-0,4.4375,3.9375,0.5,0.06988188976377953,0.0625,15.0,-1.5625,-0.4568144047004414,False,False
CAR,2005,1999-2007,16,11,5,0,11-5-0,4.6875,3.9375,0.75,0.07928118393234672,-0.9375,24.4375,8.25,1.1687734600905713,False,False
TEN,2000,1999-2007,16,13,3,0,13-3-0,6.125,4.0,2.125,0.09598432908912831,0.0,21.625,9.6875,1.3430728895445667,False,False
PIT,2005,1999-2007,16,11,5,0,11-5-0,6.25,4.0625,2.1875,0.10638297872340426,-0.4375,24.3125,8.1875,1.6787045332573478,True,True
DEN,2025,2017-2025,17,14,3,0,14-3-0,5.764705882352941,4.117647058823529,1.6470588235294117,0.09082483781278962,0.17647058823529413,23.58823529411765,5.294117647058823,0.6176677954532654,False,False
TEN,2017,2017-2025,16,9,7,0,9-7-0,5.125,4.125,1.0,0.08541666666666667,0.25,20.875,-1.375,-0.3660316130837014,False,False
LAC,2000,1999-2007,15,1,14,0,1-14-0,4.4,4.133333333333334,0.26666666666666666,0.07197382769901854,1.8,17.266666666666666,-9.266666666666667,-1.4049724766735483,False,False
SF,2022,2017-2025,17,13,4,0,13-4-0,6.882352941176471,4.176470588235294,2.7058823529411766,0.11359223300970873,-0.7647058823529411,26.470588235294116,10.176470588235293,1.7515500318058423,False,False
TB,1999,1999-2007,16,11,5,0,11-5-0,4.875,4.1875,0.6875,0.08041237113402062,0.25,16.875,2.1875,0.5793206154420685,False,False
CHI,2018,2017-2025,16,12,4,0,12-4-0,5.8125,4.1875,1.625,0.093,-0.75,26.3125,8.625,1.200027123579984,False,False
BAL,2003,1999-2007,16,10,6,0,10-6-0,6.5,4.1875,2.3125,0.10431293881644935,-0.1875,24.4375,6.875,0.8971409390671662,False,False
WSH,2008,2008-2016,16,8,8,0,8-8-0,5.4375,4.1875,1.25,0.08613861386138613,0.0,16.5625,-1.9375,-0.2546368026826522,False,False
SEA,2025,2017-2025,17,14,3,0,14-3-0,6.588235294117647,4.235294117647059,2.3529411764705883,0.1123370110330993,0.058823529411764705,28.41176470588235,11.235294117647058,2.2970438088936502,True,True
SF,2012,2008-2016,16,11,4,1,11-4-1,8.4375,4.25,4.1875,0.14150943396226415,-0.5625,24.8125,7.75,1.3512536830358128,False,True
NE,2003,1999-2007,16,14,2,0,14-2-0,5.0625,4.25,0.8125,0.07917888563049853,-1.0625,21.75,6.875,1.3859616472952812,True,True
