season,team_games,plays,pass_plays,drives,explosive_20_10,explosive_20_10_ng,def_plays_made,turnovers,drive_plays_total,drive_seconds_total,explosive_rate_per_play,explosive_rate_per_play_ng,explosive_rate_per_drive,plays_per_drive,seconds_per_drive,pass_rate,def_play_rate_per_snap,turnovers_per_game
1999,494,30771,17701,6267,2780,2363,3486,942.0,33116.0,913600.0,0.09034480517370251,0.07679308439764714,0.44359342588160205,5.284187011329185,145.77947981490345,0.5752494231581684,0.11328848591206006,3.8137651821862346
2000,492,30605,17229,6024,2779,2278,3419,924.0,32527.0,907624.0,0.09080215651037413,0.0744322823068126,0.46132138114209825,5.39956839309429,150.667994687915,0.5629472308446333,0.11171377225943473,3.7560975609756095
2001,496,31087,17427,6099,2923,2439,3462,924.0,32663.0,916494.0,0.09402644192106024,0.07845723292694695,0.4792588949008034,5.355468109526152,150.26955238563698,0.5605880271496124,0.11136487920995915,3.725806451612903
2002,512,32422,18511,6231,2995,2539,3317,925.0,34150.0,948316.0,0.0923755474677688,0.07831102337918697,0.48066121007863905,5.480661210078639,152.19322741133044,0.5709394855345136,0.1023070754426007,3.61328125
2003,512,31796,17560,6175,2947,2502,3263,902.0,33263.0,936063.0,0.09268461441690778,0.07868914328846396,0.47724696356275303,5.386720647773279,151.58914979757085,0.5522707258774688,0.1026229714429488,3.5234375
2004,512,31623,17528,6107,3040,2576,3338,900.0,33033.0,930464.0,0.09613256174303514,0.08145969705594029,0.49778942197478304,5.409038807925332,152.36024234485018,0.5542801125762894,0.10555608259810897,3.515625
2005,512,31648,17618,6096,2758,2309,3276,890.0,33154.0,931713.0,0.08714610717896866,0.07295879676440849,0.4524278215223097,5.438648293963254,152.8400590551181,0.5566860465116279,0.10351365015166836,3.4765625
2006,512,31564,17492,6041,2927,2498,3187,890.0,33067.0,928889.0,0.0927322265872513,0.07914079330883285,0.4845224300612481,5.473762622082437,153.76411190200298,0.5541756431377519,0.10096945887720188,3.4765625
2007,512,31727,18074,6032,2797,2331,3168,910.0,33260.0,930743.0,0.08815835093138337,0.07347054559208245,0.46369363395225466,5.51392572944297,154.3008952254642,0.5696725186749456,0.09985186119078387,3.5546875
2008,512,31276,17533,5894,2835,2386,2979,790.0,32821.0,931366.0,0.09064458370635631,0.07628852794474997,0.4809976247030879,5.568544282321004,158.01934170342722,0.560589589461568,0.09524875303747282,3.0859375
2009,512,31824,18087,6055,3024,2539,3144,870.0,33299.0,929896.0,0.09502262443438914,0.07978255404725992,0.49942196531791905,5.499421965317919,153.57489677952105,0.5683446455505279,0.09879336349924585,3.3984375
2010,512,31917,18346,6111,3060,2554,3121,855.0,33435.0,933705.0,0.09587367233762571,0.08002005200990069,0.5007363770250368,5.471281296023564,152.79086892488954,0.5748033963091769,0.09778487953128427,3.33984375
