season,pass_plays,rush_plays,dropbacks,rush_attempts,explosive_passes,explosive_rushes,pass_rate,explosive_pass_rate_per_dropback,explosive_rush_rate_per_attempt,rush_share_of_explosives
1999,17701,13070,17762,13070,1407,1373,0.5752494231581684,0.07921405247156851,0.10504973221117062,0.49388489208633096
2000,17229,13376,17712,13376,1308,1471,0.5629472308446333,0.07384823848238482,0.10997308612440192,0.5293270960777258
2001,17427,13660,17916,13660,1399,1524,0.5605880271496124,0.0780866264791248,0.11156661786237189,0.5213821416353062
2002,18511,13911,19061,13911,1369,1626,0.5709394855345136,0.0718220450133781,0.1168859176191503,0.5429048414023372
2003,17560,14236,17560,14236,1333,1614,0.5522707258774688,0.0759111617312073,0.11337454341107052,0.5476756023074313
2004,17528,14095,17530,14095,1477,1563,0.5542801125762894,0.08425556189389617,0.11089038666193686,0.5141447368421053
2005,17618,14030,17618,14030,1319,1439,0.5566860465116279,0.07486661369054376,0.10256593014967925,0.5217548948513415
2006,17492,14072,18030,14072,1375,1552,0.5541756431377519,0.07626178591236828,0.11028993746446845,0.5302357362487188
2007,18074,13653,18581,13653,1340,1457,0.5696725186749456,0.07211667832732362,0.1067164725701311,0.5209152663568108
2008,17533,13743,18070,13743,1354,1481,0.560589589461568,0.07493082457111234,0.10776395255766572,0.5223985890652557
2009,18087,13737,18587,13737,1465,1559,0.5683446455505279,0.07881852907946414,0.1134891169833297,0.515542328042328
2010,18346,13571,18985,13571,1521,1539,0.5748033963091769,0.08011588095865156,0.11340358116572102,0.5029411764705882
2011,18508,13609,19229,13609,1651,1587,0.576268020051686,0.08585989911071819,0.11661400543757808,0.4901173563928351
2012,18922,13571,19603,13571,1580,1569,0.5823408118671713,0.0805999081773198,0.11561417728980915,0.49825341378215304
2013,19424,13495,20181,13495,1641,1493,0.5900543758923418,0.08131410732867549,0.11063356798814376,0.47638800255264835
2014,19057,13321,19765,13321,1628,1502,0.588578664525295,0.0823678219074121,0.112754297725396,0.47987220447284346
2015,19504,13090,20231,13090,1691,1475,0.5983923421488617,0.0835845978943206,0.11268143621084797,0.4658875552747947
2016,19421,12970,20072,12970,1593,1470,0.5995801302831033,0.07936428856117975,0.1133384734001542,0.47992164544564153
2017,18688,13380,19414,13380,1538,1471,0.5827616315329924,0.07922118059132585,0.10994020926756352,0.48886673313393153
2018,18972,12908,19765,12908,1645,1637,0.5951066499372647,0.08322792815583102,0.1268205763867369,0.4987812309567337
2019,19137,13019,19921,13019,1687,1513,0.5951299912924493,0.08468450378997039,0.11621476303863584,0.4728125
2020,19161,13414,20024,13414,1599,1632,0.5882118188795088,0.07985417499001199,0.1216639332041151,0.5051067780872794
2021,19997,14142,20907,14142,1645,1640,0.5857523653299745,0.07868178122160042,0.11596662423985292,0.4992389649923896
2022,19393,14377,20298,14377,1572,1720,0.5742671009771987,0.07744605379840379,0.11963552896988246,0.5224787363304981
2023,19735,14222,20770,14222,1652,1596,0.5811761934210914,0.07953779489648531,0.11222050344536634,0.49137931034482757
2024,19153,14317,20215,14317,1582,1712,0.572243800418285,0.07825871877318823,0.11957812390864007,0.5197328476017
2025,18741,14200,19830,14200,1556,1590,0.5689262621049755,0.07846696923852749,0.1119718309859155,0.505403687221869
