era,metric,n,r,ci_lo,ci_hi
1999-2007,explosive_rate_per_play,285,0.38841992091468713,0.2850992071986084,0.482817722770023
1999-2007,explosive_diff_per_game,285,0.3781195931202168,0.2739686901015971,0.473504373907762
1999-2007,turnovers_per_game,285,0.26762184638880965,0.15629464151707015,0.3722345727560526
1999-2007,turnover_diff_per_game,285,0.17780683264299957,0.06291961875930005,0.28804325044071566
1999-2007,margin_per_game,285,0.5398579212593754,0.4520238313905862,0.6173236610906083
1999-2007,yards_per_play,285,0.5812982019724884,0.49879974107341246,0.653357907887467
2008-2016,explosive_rate_per_play,288,0.3603927290703668,0.2554539830649056,0.4569388286811222
2008-2016,explosive_diff_per_game,288,0.3723500829213652,0.2683179962281945,0.4677973736616987
2008-2016,turnovers_per_game,288,0.1452234537210052,0.03015009640031001,0.25649760370555813
2008-2016,turnover_diff_per_game,288,0.1996136954841665,0.08601883432121953,0.30808521096658936
2008-2016,margin_per_game,288,0.5073603026303122,0.41618621093301555,0.5884337291519048
2008-2016,yards_per_play,288,0.5642409896658073,0.4799621287178432,0.6382003976932109
2017-2025,explosive_rate_per_play,288,0.39688793823836777,0.29483312451455707,0.48999047850391125
2017-2025,explosive_diff_per_game,288,0.4219369281543579,0.32206365745597315,0.5125220703393872
2017-2025,turnovers_per_game,288,0.19088699217817864,0.0770065352449631,0.29985092074154457
2017-2025,turnover_diff_per_game,288,0.17633740137669496,0.062022049256818076,0.28608610950434527
2017-2025,margin_per_game,288,0.49331440785478076,0.40057454221443534,0.5760492340274018
2017-2025,yards_per_play,288,0.5063873787224773,0.4151030942844498,0.5875771107356746
ALL,explosive_rate_per_play,861,0.39367095426879645,0.33568786296332476,0.4486820613676898
ALL,explosive_diff_per_game,861,0.39058198437837943,0.3324449881929239,0.4457618949583228
ALL,turnovers_per_game,861,0.31572209271182716,0.254273387149654,0.3746319374195223
ALL,turnover_diff_per_game,861,0.18459343942014256,0.11925180159639372,0.2483429792205309
ALL,margin_per_game,861,0.5134348580295792,0.46248755667280944,0.561002714361845
ALL,yards_per_play,861,0.5772743266937786,0.5309397979610202,0.6201674282708176
