era,metric,n,r,ci_lo,ci_hi
1999-2007,explosive_rate_per_play,285,0.277988056366106,0.16720136796541707,0.38184214488981694
1999-2007,explosive_diff_per_game,285,0.30992855719298906,0.20097867557636473,0.4113046654927054
1999-2007,turnovers_per_game,285,0.21059399377680543,0.09677484847338959,0.31897624916679196
1999-2007,turnover_diff_per_game,285,0.13345020011090444,0.01753502285271202,0.24582568801840438
1999-2007,margin_per_game,285,0.36373870249883467,0.2584752530108516,0.46046568664883536
1999-2007,yards_per_play,285,0.4571898938490223,0.3601329321253948,0.5444557124086056
2008-2016,explosive_rate_per_play,288,0.21887599724505918,0.10597754882637278,0.32620327194641313
2008-2016,explosive_diff_per_game,288,0.3447506239794989,0.23868173293808242,0.442690563287474
2008-2016,turnovers_per_game,288,0.19803699103456507,0.08438915247539554,0.306598675607979
2008-2016,turnover_diff_per_game,288,0.10975306744783837,-0.005901212540650687,0.2225099075877037
2008-2016,margin_per_game,288,0.4283724795155059,0.3290864722273225,0.5182907838870277
2008-2016,yards_per_play,288,0.3813171800693532,0.27798942458718623,0.47592158633547405
2017-2025,explosive_rate_per_play,256,0.3039227330429689,0.18833852238212967,0.41120268347996536
2017-2025,explosive_diff_per_game,256,0.4071357692414212,0.29948264966966504,0.5045526834299002
2017-2025,turnovers_per_game,256,0.13728802291431969,0.014937454266568964,0.2555880130533897
2017-2025,turnover_diff_per_game,256,0.1509011923974202,0.028832625997217507,0.26853507487534034
2017-2025,margin_per_game,256,0.4231975813573471,0.3170454495998824,0.5188776749910728
2017-2025,yards_per_play,256,0.40767841518904363,0.30007481790343477,0.5050375281534525
ALL,explosive_rate_per_play,829,0.2884866668885818,0.2248123448366908,0.34970765083181116
ALL,explosive_diff_per_game,829,0.35338227585138726,0.2923258512984332,0.411569469813911
ALL,turnovers_per_game,829,0.3459002605127459,0.2845108470316228,0.40446447006535874
ALL,turnover_diff_per_game,829,0.12917352163969514,0.06162519796312816,0.19554396682717193
ALL,margin_per_game,829,0.40451530065236074,0.3459537619058157,0.45993732327316894
ALL,yards_per_play,829,0.460960325823434,0.4056005428013551,0.5129507145660872
