qb_name,seasons,games,dropbacks,explosive_pass,rate,air_share,qb_rushes,explosive_rush,rush_rate
Brock Purdy,4,47,1515,181,0.11947194719471947,0.39779005524861877,128,24,0.1875
Jimmy Garoppolo,11,75,2124,209,0.09839924670433145,0.27751196172248804,119,3,0.025210084033613446
Jared Goff,10,151,5622,546,0.09711846318036287,0.3333333333333333,183,16,0.08743169398907104
Kurt Warner,11,122,4280,414,0.09672897196261682,0.39072847682119205,124,11,0.08870967741935484
Jordan Love,5,55,1663,160,0.09621166566446182,0.50625,98,19,0.19387755102040816
Philip Rivers,18,245,8826,836,0.09472014502605937,0.44364508393285373,289,19,0.0657439446366782
Trent Green,9,104,3472,325,0.09360599078341014,0.4857142857142857,164,28,0.17073170731707318
Tony Romo,11,130,4673,437,0.09351594264926172,0.4576659038901602,137,27,0.19708029197080293
Drew Brees,20,287,11032,1028,0.09318346627991297,0.47586206896551725,278,26,0.09352517985611511
Peyton Manning,16,250,9116,839,0.09203598069328653,0.5299145299145299,222,27,0.12162162162162163
Kirk Cousins,14,174,6367,579,0.09093764724359982,0.4473229706390328,245,41,0.1673469387755102
Ben Roethlisberger,18,249,9142,822,0.08991467950120324,0.46102150537634407,309,48,0.1553398058252427
Russell Wilson,14,205,7225,649,0.08982698961937716,0.5562403697996918,872,226,0.2591743119266055
C.J. Stroud,3,46,1648,147,0.0891990291262136,0.43537414965986393,115,23,0.2
Jake Delhomme,11,102,3112,277,0.08901028277634962,0.49586776859504134,108,17,0.1574074074074074
Patrick Mahomes,9,126,5221,464,0.08887186362765753,0.42887931034482757,387,110,0.2842377260981912
Baker Mayfield,8,123,4448,395,0.08880395683453238,0.4607594936708861,287,59,0.20557491289198607
Matt Schaub,15,115,3571,317,0.0887706524782974,0.37987012987012986,115,9,0.0782608695652174
Marc Bulger,8,96,3433,304,0.08855228662976988,0.5507246376811594,82,12,0.14634146341463414
Aaron Rodgers,21,263,9765,861,0.08817204301075268,0.49477351916376305,583,142,0.24356775300171526
