qb_name,season,games,dropbacks,explosive_pass,rate,air_share,qb_rushes,explosive_rush,rush_rate
Brock Purdy,2023,16,486,72,0.14814814814814814,0.3472222222222222,28,6,0.21428571428571427
Nick Foles,2013,13,368,52,0.14130434782608695,0.40384615384615385,42,8,0.19047619047619047
Kurt Warner,2001,16,593,81,0.13659359190556492,,27,2,0.07407407407407407
Peyton Manning,2004,16,508,68,0.13385826771653545,,14,2,0.14285714285714285
Ben Roethlisberger,2004,14,325,43,0.13230769230769232,,30,5,0.16666666666666666
Kurt Warner,2000,11,368,48,0.13043478260869565,,18,1,0.05555555555555555
Matthew Stafford,2019,8,317,41,0.12933753943217666,0.5609756097560976,14,3,0.21428571428571427
Carson Palmer,2011,10,333,43,0.12912912912912913,0.5116279069767442,14,1,0.07142857142857142
Drew Brees,2017,16,558,72,0.12903225806451613,0.4444444444444444,16,0,0.0
Donovan McNabb,2006,10,354,44,0.12429378531073447,0.3953488372093023,28,10,0.35714285714285715
Jeff George,1999,12,346,43,0.12427745664739884,,7,1,0.14285714285714285
Ryan Tannehill,2019,11,330,41,0.12424242424242424,0.3170731707317073,27,9,0.3333333333333333
Philip Rivers,2009,16,518,64,0.12355212355212356,0.4444444444444444,20,2,0.1
Ben Roethlisberger,2010,12,425,52,0.1223529411764706,0.4807692307692308,24,8,0.3333333333333333
Andy Dalton,2015,13,433,52,0.12009237875288684,0.46153846153846156,45,3,0.06666666666666667
