game_id,season,week,game_type,team,opponent,points_for,points_against,is_home,plays,pass_plays,rush_plays,dropbacks,sacks_taken,negative_plays,yards,epa_total,explosive_20_10,explosive_25_15,explosive_20_20,explosive_epa2,explosive_20_10_ng,explosive_25_15_ng,explosive_20_20_ng,explosive_epa2_ng,turnovers,turnovers_ng,turnovers_scrimmage,turnovers_scrimmage_ng,def_plays_made,drives,drive_plays_total,drive_seconds_total,franchise,opp_franchise,margin,win,explosive_20_10_diff,explosive_25_15_diff,explosive_20_20_diff,explosive_epa2_diff,explosive_20_10_ng_diff,explosive_25_15_ng_diff,explosive_20_20_ng_diff,explosive_epa2_ng_diff,turnovers_diff,turnovers_ng_diff,turnovers_scrimmage_diff,turnovers_scrimmage_ng_diff,yards_diff
1999_01_ARI_PHI,1999,1,REG,PHI,ARI,24,25,True,55,30,25,30,4,5,203.0,-15.035938766686456,3,3,2,3,3,3,2,3,4.0,4.0,4.0,4.0,11,15,57.0,1509.0,PHI,ARI,-1,0.0,-2,1,0,-6,-2,1,0,-6,0.0,0.0,0.0,0.0,-143.0
1999_01_ARI_PHI,1999,1,REG,ARI,PHI,25,24,False,84,50,34,50,1,7,346.0,-11.20814155038086,5,2,2,9,5,2,2,9,4.0,4.0,4.0,4.0,8,15,89.0,2091.0,ARI,PHI,1,1.0,2,-1,0,6,2,-1,0,6,0.0,0.0,0.0,0.0,143.0
1999_01_BUF_IND,1999,1,REG,IND,BUF,31,14,True,58,33,25,33,0,2,356.0,2.6142003732336745,6,4,4,6,6,4,4,6,3.0,2.0,3.0,2.0,11,13,68.0,2106.0,IND,BUF,17,1.0,0,2,-2,3,1,3,-1,4,0.0,0.0,0.0,0.0,33.0
1999_01_BUF_IND,1999,1,REG,BUF,IND,14,31,False,63,47,16,47,5,7,323.0,-12.70727013651014,6,2,6,3,5,1,5,2,3.0,2.0,3.0,2.0,5,12,64.0,1583.0,BUF,IND,-17,0.0,0,-2,2,-3,-1,-3,1,-4,0.0,0.0,0.0,0.0,-33.0
1999_01_CAR_NO,1999,1,REG,NO,CAR,19,10,True,64,25,39,25,4,8,252.0,-11.734885330891924,2,2,2,2,2,2,2,2,0.0,0.0,0.0,0.0,12,15,72.0,2033.0,NO,CAR,9,1.0,-5,-3,-4,0,-5,-3,-4,0,-3.0,-2.0,-2.0,-2.0,6.0
1999_01_CAR_NO,1999,1,REG,CAR,NO,10,19,False,55,39,16,39,7,10,246.0,-18.44263241179393,7,5,6,2,7,5,6,2,3.0,2.0,2.0,2.0,7,15,57.0,1628.0,CAR,NO,-9,0.0,5,3,4,0,5,3,4,0,3.0,2.0,2.0,2.0,-6.0
1999_01_CIN_TEN,1999,1,REG,TEN,CIN,36,35,True,52,34,18,34,2,2,403.0,-0.3908854340667869,6,3,5,7,6,3,5,7,4.0,4.0,4.0,4.0,8,13,54.0,1395.0,TEN,CIN,1,1.0,-4,-2,3,0,-4,-2,3,0,2.0,2.0,2.0,2.0,5.0
1999_01_CIN_TEN,1999,1,REG,CIN,TEN,35,36,False,78,36,42,36,1,5,398.0,15.912853968951989,10,5,2,7,10,5,2,7,2.0,2.0,2.0,2.0,5,13,79.0,2205.0,CIN,TEN,-1,0.0,4,2,-3,0,4,2,-3,0,-2.0,-2.0,-2.0,-2.0,-5.0
1999_01_DAL_WAS,1999,1,REG,WAS,DAL,35,41,True,67,36,31,36,2,4,506.0,10.610220336841074,10,8,8,6,9,7,7,5,2.0,2.0,2.0,2.0,7,15,75.0,1865.0,WSH,DAL,-6,0.0,-2,2,3,-3,0,2,3,-2,-1.0,-1.0,-1.0,-1.0,-29.0
1999_01_DAL_WAS,1999,1,REG,DAL,WAS,41,35,False,82,49,33,50,1,7,535.0,23.22052299400093,12,6,5,9,9,5,4,7,3.0,3.0,3.0,3.0,5,15,84.0,2150.0,DAL,WSH,6,1.0,2,-2,-3,3,0,-2,-3,2,1.0,1.0,1.0,1.0,29.0
