season,team_games,pass_plays,rush_plays,dropbacks,rush_attempts,exp_pass_20,exp_rush_10,exp_pass_25,exp_rush_15,pass_rate,exp_pass20_per_teamgame,exp_rush10_per_teamgame,exp_pass20_per_dropback,exp_rush10_per_rushattempt,exp_pass25_per_teamgame,exp_rush15_per_teamgame,exp_pass25_per_dropback,exp_rush15_per_rushattempt,total_exp2010,rush_share_of_explosive_2010,total_exp2515,rush_share_of_explosive_2515
1999,494,17701,13070,17762,13070,1407,1373,852,557,0.5752494231581684,2.848178137651822,2.779352226720648,0.07921405247156851,0.10504973221117062,1.7246963562753037,1.1275303643724697,0.047967571219457265,0.042616679418515685,2780,0.49388489208633096,1409,0.39531582682753724
2000,492,17229,13376,17712,13376,1308,1471,764,629,0.5629472308446333,2.658536585365854,2.9898373983739837,0.07384823848238482,0.10997308612440192,1.5528455284552845,1.2784552845528456,0.043134598012646796,0.047024521531100476,2779,0.5293270960777258,1393,0.4515434314429289
2001,496,17427,13660,17916,13660,1399,1524,799,675,0.5605880271496124,2.8205645161290325,3.0725806451612905,0.0780866264791248,0.11156661786237189,1.6108870967741935,1.3608870967741935,0.044597008260772494,0.049414348462664716,2923,0.5213821416353062,1474,0.45793758480325647
2002,512,18511,13911,19061,13911,1369,1626,802,697,0.5709394855345136,2.673828125,3.17578125,0.0718220450133781,0.1168859176191503,1.56640625,1.361328125,0.0420754420019936,0.05010423405937747,2995,0.5429048414023372,1499,0.46497665110073383
2003,512,17560,14236,17560,14236,1333,1614,767,688,0.5522707258774688,2.603515625,3.15234375,0.0759111617312073,0.11337454341107052,1.498046875,1.34375,0.04367881548974943,0.04832818207361619,2947,0.5476756023074313,1455,0.47285223367697593
2004,512,17528,14095,17530,14095,1477,1563,886,664,0.5542801125762894,2.884765625,3.052734375,0.08425556189389617,0.11089038666193686,1.73046875,1.296875,0.05054192812321734,0.04710890386661937,3040,0.5141447368421053,1550,0.42838709677419357
2005,512,17618,14030,17618,14030,1319,1439,762,607,0.5566860465116279,2.576171875,2.810546875,0.07486661369054376,0.10256593014967925,1.48828125,1.185546875,0.043251220342831194,0.043264433357091944,2758,0.5217548948513415,1369,0.44338933528122715
2006,512,17492,14072,18030,14072,1375,1552,806,671,0.5541756431377519,2.685546875,3.03125,0.07626178591236828,0.11028993746446845,1.57421875,1.310546875,0.04470327232390461,0.047683342808413874,2927,0.5302357362487188,1477,0.45429925524712256
2007,512,18074,13653,18581,13653,1340,1457,754,609,0.5696725186749456,2.6171875,2.845703125,0.07211667832732362,0.1067164725701311,1.47265625,1.189453125,0.04057908616328507,0.04460558119094704,2797,0.5209152663568108,1363,0.44680851063829785
2008,512,17533,13743,18070,13743,1354,1481,782,682,0.560589589461568,2.64453125,2.892578125,0.07493082457111234,0.10776395255766572,1.52734375,1.33203125,0.04327614831211953,0.049625263770646875,2835,0.5223985890652557,1464,0.46584699453551914
2009,512,18087,13737,18587,13737,1465,1559,866,683,0.5683446455505279,2.861328125,3.044921875,0.07881852907946414,0.1134891169833297,1.69140625,1.333984375,0.04659170387905525,0.04971973502220281,3024,0.515542328042328,1549,0.4409296320206585
2010,512,18346,13571,18985,13571,1521,1539,899,681,0.5748033963091769,2.970703125,3.005859375,0.08011588095865156,0.11340358116572102,1.755859375,1.330078125,0.04735317355807216,0.05018053201680053,3060,0.5029411764705882,1580,0.4310126582278481
2011,512,18508,13609,19229,13609,1651,1587,948,707,0.576268020051686,3.224609375,3.099609375,0.08585989911071819,0.11661400543757808,1.8515625,1.380859375,0.049300535649279734,0.05195091483577045,3238,0.4901173563928351,1655,0.427190332326284
2012,512,18922,13571,19603,13571,1580,1569,927,690,0.5823408118671713,3.0859375,3.064453125,0.0805999081773198,0.11561417728980915,1.810546875,1.34765625,0.047288680304035095,0.05084371085402697,3149,0.49825341378215304,1617,0.4267161410018553
2013,512,19424,13495,20181,13495,1641,1493,982,662,0.5900543758923418,3.205078125,2.916015625,0.08131410732867549,0.11063356798814376,1.91796875,1.29296875,0.04865963034537436,0.04905520563171545,3134,0.47638800255264835,1644,0.402676399026764
2014,512,19057,13321,19765,13321,1628,1502,916,663,0.588578664525295,3.1796875,2.93359375,0.0823678219074121,0.112754297725396,1.7890625,1.294921875,0.04634454844421958,0.04977103821034457,3130,0.47987220447284346,1579,0.41988600379987334
2015,512,19504,13090,20231,13090,1691,1475,1003,641,0.5983923421488617,3.302734375,2.880859375,0.0835845978943206,0.11268143621084797,1.958984375,1.251953125,0.04957738124660175,0.04896867838044309,3166,0.4658875552747947,1644,0.38990267639902676
