season,explosive_plays_total,explosive_plays_garbage,garbage_share_of_explosives
2010,3060,506,0.165359477124183
2011,3238,477,0.14731315626930203
2012,3149,545,0.17307081613210543
2013,3134,460,0.1467772814294831
2014,3130,567,0.18115015974440896
2015,3166,496,0.15666456096020215
2016,3063,398,0.12993796931113288
2017,3009,456,0.15154536390827517
2018,3282,507,0.15447897623400367
2019,3200,475,0.1484375
2020,3231,502,0.15536985453419994
2021,3285,493,0.15007610350076103
2022,3292,409,0.12424058323207776
2023,3248,456,0.14039408866995073
2024,3294,475,0.14420157862780814
2025,3146,466,0.14812460267005723
