era,factor,bucket,plays,exp_hits,explosive_rate
2010-2017,distance,long_8+,178857,18528,0.10359113705362384
2010-2017,distance,medium_4-7,47718,4090,0.08571189069114381
2010-2017,distance,short_1-3,31752,2331,0.07341269841269842
2010-2017,down,1st,114226,11599,0.10154430690035543
2010-2017,down,2nd,86131,7984,0.09269600956682263
2010-2017,down,3rd+,57970,5366,0.09256511988959806
2010-2017,field_zone,opp_49-21,70833,7862,0.11099346349865176
2010-2017,field_zone,own_1-20,39634,4012,0.1012262199121966
2010-2017,field_zone,own_21-50,112268,12101,0.107786724623223
2010-2017,field_zone,red_zone,36142,974,0.026949255713574236
2010-2017,quarter,1,59126,5613,0.09493285525826202
2010-2017,quarter,2,68781,6627,0.09634928250534304
2010-2017,quarter,3,59818,6158,0.10294560165836371
2010-2017,quarter,4,69295,6359,0.09176708276210405
2010-2017,quarter,5,1857,192,0.10339256865912763
2010-2017,score_state,leading_1-7,49678,4856,0.09774950682394622
2010-2017,score_state,leading_>7,38591,3913,0.10139669871213496
2010-2017,score_state,tied,49881,4682,0.09386339487981396
2010-2017,score_state,trailing_1-7,63257,6146,0.09715920767662077
2010-2017,score_state,trailing_>7,57470,5352,0.0931268487906734
2018-2025,distance,long_8+,177744,18655,0.10495431632010081
2018-2025,distance,medium_4-7,50388,4496,0.08922759387155672
2018-2025,distance,short_1-3,35731,2827,0.07911897232095379
2018-2025,down,1st,116472,12067,0.10360429974586166
2018-2025,down,2nd,87723,8283,0.09442221538251086
2018-2025,down,3rd+,59668,5628,0.09432191459408729
2018-2025,field_zone,opp_49-21,77300,8629,0.11163001293661061
2018-2025,field_zone,own_1-20,25792,2773,0.10751395781637717
2018-2025,field_zone,own_21-50,121191,13315,0.10986789448061325
2018-2025,field_zone,red_zone,40605,1261,0.031055288757542175
2018-2025,quarter,1,59767,5792,0.0969096658691251
2018-2025,quarter,2,71380,6926,0.09702998038666293
2018-2025,quarter,3,60516,6350,0.10493092735805407
2018-2025,quarter,4,71558,6721,0.09392381005617821
2018-2025,quarter,5,1667,189,0.11337732453509299
2018-2025,score_state,leading_1-7,50593,5155,0.10189156602692072
2018-2025,score_state,leading_>7,38219,4008,0.10486930584264371
2018-2025,score_state,tied,50347,4854,0.09641090829642282
2018-2025,score_state,trailing_1-7,66296,6576,0.09919150476650175
2018-2025,score_state,trailing_>7,59433,5385,0.09060622886275302
