team,season,games,explosives_generated,explosives_allowed,gen_per_game,allowed_per_game
ARI,1999,16,66,86,4.125,5.375
ATL,1999,16,74,98,4.625,6.125
BAL,1999,15,79,55,5.266666666666667,3.6666666666666665
BUF,1999,16,101,70,6.3125,4.375
CAR,1999,16,102,88,6.375,5.5
CHI,1999,16,90,105,5.625,6.5625
CIN,1999,16,91,92,5.6875,5.75
CLE,1999,16,67,96,4.1875,6.0
DAL,1999,16,98,80,6.125,5.0
DEN,1999,16,90,86,5.625,5.375
DET,1999,16,84,90,5.25,5.625
GB,1999,16,99,95,6.1875,5.9375
IND,1999,16,96,88,6.0,5.5
JAX,1999,16,98,78,6.125,4.875
KC,1999,16,87,101,5.4375,6.3125
LA,1999,15,113,74,7.533333333333333,4.933333333333334
LAC,1999,16,67,80,4.1875,5.0
LV,1999,16,107,96,6.6875,6.0
MIA,1999,16,89,86,5.5625,5.375
MIN,1999,16,115,97,7.1875,6.0625
NE,1999,16,82,94,5.125,5.875
NO,1999,16,92,105,5.75,6.5625
NYG,1999,16,76,80,4.75,5.0
NYJ,1999,16,91,86,5.6875,5.375
PHI,1999,16,71,95,4.4375,5.9375
PIT,1999,16,79,91,4.9375,5.6875
SEA,1999,16,90,98,5.625,6.125
SF,1999,16,95,117,5.9375,7.3125
TB,1999,16,78,67,4.875,4.1875
TEN,1999,16,100,91,6.25,5.6875
WAS,1999,16,113,115,7.0625,7.1875
ARI,2000,16,75,111,4.6875,6.9375
ATL,2000,16,62,105,3.875,6.5625
BAL,2000,16,94,61,5.875,3.8125
BUF,2000,15,110,64,7.333333333333333,4.266666666666667
CAR,2000,16,72,94,4.5,5.875
CHI,2000,16,73,86,4.5625,5.375
CIN,2000,16,93,90,5.8125,5.625
CLE,2000,16,52,110,3.25,6.875
DAL,2000,16,90,94,5.625,5.875
DEN,2000,16,119,101,7.4375,6.3125
DET,2000,16,81,82,5.0625,5.125
GB,2000,16,89,83,5.5625,5.1875
IND,2000,16,100,102,6.25,6.375
JAX,2000,16,93,98,5.8125,6.125
KC,2000,15,92,100,6.133333333333334,6.666666666666667
LA,2000,16,134,109,8.375,6.8125
LAC,2000,15,66,62,4.4,4.133333333333334
LV,2000,16,110,74,6.875,4.625
MIA,2000,15,70,87,4.666666666666667,5.8
MIN,2000,16,116,99,7.25,6.1875
NE,2000,16,60,87,3.75,5.4375
NO,2000,16,99,97,6.1875,6.0625
NYG,2000,16,98,75,6.125,4.6875
NYJ,2000,16,82,86,5.125,5.375
PHI,2000,16,93,92,5.8125,5.75
PIT,2000,16,98,86,6.125,5.375
SEA,2000,16,69,108,4.3125,6.75
SF,2000,16,115,108,7.1875,6.75
TB,2000,16,87,73,5.4375,4.5625
TEN,2000,16,98,64,6.125,4.0
WAS,2000,16,89,91,5.5625,5.6875
ARI,2001,16,88,105,5.5,6.5625
ATL,2001,16,97,111,6.0625,6.9375
BAL,2001,16,96,74,6.0,4.625
BUF,2001,16,89,107,5.5625,6.6875
CAR,2001,16,75,105,4.6875,6.5625
CHI,2001,16,80,73,5.0,4.5625
CIN,2001,16,78,97,4.875,6.0625
CLE,2001,16,76,94,4.75,5.875
DAL,2001,16,104,76,6.5,4.75
DEN,2001,16,71,91,4.4375,5.6875
DET,2001,16,90,98,5.625,6.125
GB,2001,16,94,95,5.875,5.9375
IND,2001,16,114,105,7.125,6.5625
