season,league_explosive_plays,top5_offense_explosive_plays,top5_share
1999,2780,550,0.19784172661870503
2000,2779,594,0.21374595178121628
2001,2923,601,0.20561067396510435
2002,2995,587,0.1959933222036728
2003,2947,570,0.19341703427214116
2004,3040,589,0.19375
2005,2758,549,0.1990572878897752
2006,2927,580,0.19815510761872224
2007,2797,534,0.19091884161601716
2008,2835,533,0.18800705467372134
2009,3024,573,0.18948412698412698
2010,3060,589,0.19248366013071896
2011,3238,663,0.2047560222359481
2012,3149,633,0.2010161956176564
2013,3134,626,0.19974473516273133
2014,3130,617,0.19712460063897763
2015,3166,591,0.1866708780795957
2016,3063,573,0.18707149853085211
2017,3009,575,0.19109338650714522
2018,3282,630,0.19195612431444242
2019,3200,634,0.198125
2020,3231,613,0.18972454348498916
2021,3285,623,0.18964992389649923
2022,3292,618,0.18772782503037666
2023,3248,647,0.19919950738916256
2024,3294,660,0.20036429872495445
2025,3146,619,0.19675778766687857
