era,bucket,plays,def_hits,def_play_rate
1999-2007,1,52817,4892,0.09262169377283828
1999-2007,2,50370,4940,0.09807425054595989
1999-2007,3,48076,5345,0.11117813462018471
1999-2007,4,31866,3276,0.10280549802297119
1999-2007,5,26965,2895,0.10736139440014834
1999-2007,6,21397,2334,0.10908071224938075
1999-2007,7,15759,1697,0.10768449774731899
1999-2007,8+,35977,3858,0.10723517803040832
2008-2016,1,52182,4563,0.08744394618834081
2008-2016,2,50161,4584,0.09138573792388509
2008-2016,3,48145,5099,0.10590923252674213
2008-2016,4,32710,3102,0.09483338428615103
2008-2016,5,27871,2701,0.09691076746438951
2008-2016,6,22378,2258,0.10090267226740549
2008-2016,7,16707,1619,0.09690548871730413
2008-2016,8+,39717,3916,0.09859757786338344
2017-2025,1,50663,4093,0.08078874129048813
2017-2025,2,48972,4163,0.08500775953606142
2017-2025,3,47209,4866,0.10307356648096762
2017-2025,4,33423,3155,0.09439607455943512
2017-2025,5,28898,2717,0.09402034742888782
2017-2025,6,23757,2292,0.09647682788230837
2017-2025,7,18298,1733,0.09470980435020221
2017-2025,8+,45683,4501,0.09852680428168027
