era,len_bucket,drives,turnovers,turnover_rate
1999-2007,1,2447,1147,0.46873722926031874
1999-2007,2,2294,1178,0.5135135135135135
1999-2007,3,16210,1656,0.10215916101172116
1999-2007,4,4901,850,0.1734339930626403
1999-2007,5,5568,810,0.14547413793103448
1999-2007,6,5638,653,0.11582121319616885
1999-2007,7,3728,497,0.1333154506437768
1999-2007,8+,12031,1156,0.096085113456903
2008-2016,1,2021,946,0.46808510638297873
2008-2016,2,2016,988,0.49007936507936506
2008-2016,3,15435,1418,0.09186912860382249
2008-2016,4,4839,778,0.16077702004546393
2008-2016,5,5493,714,0.1299836155106499
2008-2016,6,5671,613,0.10809381061541175
2008-2016,7,3848,405,0.10524948024948025
2008-2016,8+,12859,1061,0.0825103040671903
2017-2025,1,1691,785,0.46422235363690123
2017-2025,2,1763,867,0.49177538287010775
2017-2025,3,13786,1132,0.08211228782823154
2017-2025,4,4525,701,0.1549171270718232
2017-2025,5,5141,632,0.12293328146275044
2017-2025,6,5459,534,0.09782011357391464
2017-2025,7,4076,373,0.09151128557409224
2017-2025,8+,14222,997,0.07010265785402897
