qb_id,qb_name,old_team,new_team,season_s,season_s1,old_games,new_games,old_explosive_pass_rate,new_explosive_pass_rate,old_explosive_diff,new_explosive_diff
00-0000722,Tony Banks,BAL,WSH,2000,2001,8,14,0.13924050632911392,0.205607476635514,1.625,0.7857142857142857
00-0001335,Jeff Blake,CIN,NO,1999,2000,12,11,0.1740139211136891,0.17827298050139276,0.4166666666666667,0.6363636363636364
00-0001335,Jeff Blake,BAL,ARI,2002,2003,10,13,0.15542521994134897,0.1422319474835886,0.8,-1.2307692307692308
00-0001361,Drew Bledsoe,BUF,DAL,2004,2005,16,16,0.17142857142857143,0.15722120658135283,0.3125,0.5625
00-0004293,Trent Dilfer,TB,BAL,1999,2000,10,8,0.1958762886597938,0.2032520325203252,1.9,2.5
00-0005106,Brett Favre,GB,NYJ,2007,2008,16,16,0.1454849498327759,0.16049382716049382,0.5,1.0625
00-0005106,Brett Favre,NYJ,MIN,2008,2009,16,16,0.16049382716049382,0.1890971039182283,1.0625,1.25
00-0005755,Jeff Garcia,SF,CLE,2003,2004,13,10,0.203579418344519,0.17229729729729729,1.0769230769230769,0.6
00-0006300,Elvis Grbac,KC,BAL,2000,2001,14,14,0.15970961887477314,0.16420664206642066,-0.35714285714285715,1.7142857142857142
00-0007091,Matt Hasselbeck,SEA,TEN,2010,2011,14,16,0.1318267419962335,0.1482084690553746,-1.7857142857142858,-1.1875
00-0008442,Brad Johnson,WSH,TB,2000,2001,11,15,0.14430379746835442,0.1166936790923825,0.09090909090909091,-0.8666666666666667
00-0009311,Jon Kitna,SEA,CIN,2000,2001,12,15,0.14463840399002495,0.12520325203252033,-1.5,-0.8
00-0011022,Donovan McNabb,PHI,WSH,2009,2010,14,13,0.1833976833976834,0.15849056603773584,1.0714285714285714,-1.0
00-0011024,Steve McNair,TEN,BAL,2005,2006,14,16,0.1224105461393597,0.14234234234234233,-1.2857142857142858,0.125
00-0012726,Doug Pederson,PHI,CLE,1999,2000,9,8,0.11447811447811448,0.08745247148288973,-1.6666666666666667,-3.625
00-0013042,Jake Plummer,ARI,DEN,2002,2003,16,11,0.13539967373572595,0.2245508982035928,-1.1875,1.5454545454545454
00-0017200,Kurt Warner,NYG,ARI,2004,2005,9,10,0.15822784810126583,0.13174946004319654,-0.1111111111111111,0.1
00-0019559,Chad Pennington,NYJ,MIA,2007,2008,9,16,0.12779552715654952,0.1619047619047619,-0.6666666666666666,-0.625
00-0019596,Tom Brady,NE,TB,2019,2020,16,16,0.16232771822358347,0.1549079754601227,1.75,1.375
00-0021141,Joey Harrington,DET,MIA,2005,2006,11,11,0.10512820512820513,0.1159090909090909,-2.909090909090909,-0.36363636363636365
00-0021141,Joey Harrington,MIA,ATL,2006,2007,11,10,0.1159090909090909,0.13054830287206268,-0.36363636363636365,-1.2
00-0021206,Josh McCown,TB,CLE,2014,2015,11,8,0.1308641975308642,0.1056701030927835,-1.0909090909090908,-1.875
00-0022942,Philip Rivers,LAC,IND,2019,2020,16,16,0.14960629921259844,0.20905923344947736,0.9375,2.0625
00-0023436,Alex Smith,SF,KC,2012,2013,9,15,0.2636986301369863,0.1632996632996633,4.444444444444445,-0.06666666666666667
00-0023436,Alex Smith,KC,WSH,2017,2018,15,10,0.17739130434782607,0.16883116883116883,-0.4666666666666667,0.0
00-0023459,Aaron Rodgers,NYJ,PIT,2024,2025,17,16,0.14456035767511177,0.14669051878354203,-0.4117647058823529,-0.8125
00-0023541,Kyle Orton,CHI,DEN,2008,2009,15,15,0.13851992409867173,0.16106194690265488,-0.26666666666666666,0.2
00-0023662,Matt Cassel,NE,KC,2008,2009,15,15,0.15042735042735042,0.14731369150779897,0.9333333333333333,-0.6666666666666666
00-0023682,Ryan Fitzpatrick,CIN,BUF,2008,2009,12,8,0.10629067245119306,0.15151515151515152,-0.5,-2.0
00-0023682,Ryan Fitzpatrick,BUF,TEN,2012,2013,16,9,0.18388791593695272,0.14447592067988668,-0.8125,-0.8888888888888888
00-0023682,Ryan Fitzpatrick,TEN,HOU,2013,2014,9,12,0.14447592067988668,0.21148825065274152,-0.8888888888888888,1.25
00-0023682,Ryan Fitzpatrick,HOU,NYJ,2014,2015,12,16,0.21148825065274152,0.16995447647951442,1.25,0.8125
00-0024226,Jay Cutler,DEN,CHI,2008,2009,16,16,0.15337423312883436,0.1437908496732026,-0.5,-0.75
00-0026143,Matt Ryan,ATL,IND,2021,2022,17,11,0.13629160063391443,0.13025210084033614,-1.2352941176470589,0.09090909090909091
00-0026158,Joe Flacco,BAL,DEN,2018,2019,9,8,0.1262135922330097,0.14625850340136054,-0.1111111111111111,0.625
00-0026498,Matthew Stafford,DET,LAR,2020,2021,16,17,0.14710485133020346,0.17103235747303544,-1.6875,0.7647058823529411
00-0026625,Brian Hoyer,CLE,HOU,2014,2015,13,9,0.18924731182795698,0.14402173913043478,0.23076923076923078,0.2222222222222222
00-0027854,Sam Bradford,PHI,MIN,2015,2016,14,15,0.14839797639123103,0.12146422628951747,-0.35714285714285715,-0.4666666666666667
00-0027973,Andy Dalton,CIN,DAL,2019,2020,13,9,0.12784588441331,0.11716621253405994,-3.1538461538461537,-3.3333333333333335
00-0028986,Case Keenum,LAR,MIN,2016,2017,9,14,0.13372093023255813,0.16865079365079366,-0.7777777777777778,2.7142857142857144
