qb_id,qb_name,dropbacks,explosive_pass,games,seasons,rate
00-0034796,Lamar Jackson,3592,838,107,8,0.23329621380846324
00-0037834,Brock Purdy,1501,349,45,4,0.23251165889407063
00-0020245,Michael Vick,3848,835,111,12,0.216995841995842
00-0029665,Robert Griffin,1520,317,42,6,0.20855263157894738
00-0006355,Trent Green,3214,670,93,7,0.20846297448662104
00-0036945,Justin Fields,1732,359,51,5,0.20727482678983833
00-0036389,Jalen Hurts,2911,587,83,6,0.20164891789762968
00-0015700,Kordell Stewart,1662,329,51,5,0.19795427196149218
00-0029263,Russell Wilson,7314,1437,202,14,0.19647251845775227
00-0027974,Colin Kaepernick,2023,397,58,5,0.1962432031636184
00-0024218,Vince Young,1614,313,51,6,0.1939281288723668
00-0004161,Jake Delhomme,3108,597,97,10,0.1920849420849421
00-0036264,Jordan Love,1663,316,48,4,0.1900180396873121
00-0021231,David Garrard,2619,497,75,8,0.18976708667430317
00-0031345,Jimmy Garoppolo,2258,421,65,10,0.18644818423383525
