qb_id,qb_name,season,dropbacks,explosive_pass,games,rate
00-0022924,Ben Roethlisberger,2004,305,95,13,0.3114754098360656
00-0029665,Robert Griffin,2012,472,135,15,0.2860169491525424
00-0037834,Brock Purdy,2023,511,144,16,0.28180039138943247
00-0034796,Lamar Jackson,2019,480,134,15,0.2791666666666667
00-0029701,Ryan Tannehill,2019,312,86,10,0.27564102564102566
00-0020245,Michael Vick,2004,367,101,14,0.27520435967302453
00-0022787,Matt Schaub,2011,311,84,10,0.27009646302250806
00-0029567,Nick Foles,2013,361,97,10,0.26869806094182824
00-0034796,Lamar Jackson,2024,544,144,17,0.2647058823529412
00-0027876,Tim Tebow,2011,325,86,11,0.26461538461538464
