season,mean_epa_explosive,mean_epa_nonexplosive,n_explosive,n_nonexplosive
1999,2.0010558028758223,-0.26045710608327566,2780,27991
2000,1.9185672242132046,-0.23298432440204553,2779,27826
2001,1.8820752583804763,-0.24984084894942676,2923,28164
2002,1.8864032788464427,-0.22260556913084723,2995,29427
2003,1.9156145569844893,-0.23919174689488046,2947,28849
2004,1.970694893952426,-0.22982835678012464,3040,28583
2005,2.0096288586180764,-0.22295243126745268,2758,28890
2006,1.9568808177141415,-0.2441154188212517,2927,28637
2007,1.9481423378727705,-0.22224036936434038,2797,28930
2008,1.9745184822831272,-0.2077632523266539,2835,28441
2009,1.993868518216654,-0.23118110426730684,3024,28800
2010,1.9675302420401393,-0.22861130811169456,3060,28857
2011,1.96832053743794,-0.2317354613831901,3238,28879
2012,1.9706494174871856,-0.21088740876908427,3149,29344
2013,2.0149997212285724,-0.21719193347319865,3134,29785
2014,1.9879337847719034,-0.22896173155487867,3130,29248
2015,2.005690263952261,-0.22658284510123627,3166,29428
2016,1.97673021075044,-0.20183575189816866,3063,29328
2017,1.972897284554245,-0.24307322170543688,3009,29059
2018,1.9247611325921514,-0.21006012728858145,3282,28598
2019,1.9816206096935463,-0.22624706735511912,3200,28956
2020,1.927838153200409,-0.17731716151312482,3231,29344
2021,1.9395167470621644,-0.20067995479103887,3285,30854
2022,1.9235688863423541,-0.21682144389226057,3292,30478
2023,1.9353837851121911,-0.23992214888593094,3248,30709
2024,1.9370601421408482,-0.20181724658849604,3294,30176
2025,1.9549987012430305,-0.19839790771491708,3146,29795
