season,margin_bucket,explosive_plays,n_games_season,explosive_per_game
1999,within_7,1761,247,7.129554655870446
1999,8_16,654,247,2.6477732793522266
1999,17_plus,365,247,1.4777327935222673
2000,within_7,1723,246,7.004065040650406
2000,8_16,629,246,2.5569105691056913
2000,17_plus,427,246,1.7357723577235773
2001,within_7,1830,248,7.379032258064516
2001,8_16,716,248,2.8870967741935485
2001,17_plus,377,248,1.5201612903225807
2002,within_7,1888,256,7.375
2002,8_16,698,256,2.7265625
2002,17_plus,409,256,1.59765625
2003,within_7,1895,256,7.40234375
2003,8_16,674,256,2.6328125
2003,17_plus,378,256,1.4765625
2004,within_7,1998,256,7.8046875
2004,8_16,682,256,2.6640625
2004,17_plus,360,256,1.40625
2005,within_7,1753,256,6.84765625
2005,8_16,623,256,2.43359375
2005,17_plus,382,256,1.4921875
2006,within_7,1867,256,7.29296875
2006,8_16,736,256,2.875
2006,17_plus,324,256,1.265625
2007,within_7,1766,256,6.8984375
2007,8_16,658,256,2.5703125
2007,17_plus,373,256,1.45703125
2008,within_7,1787,256,6.98046875
2008,8_16,630,256,2.4609375
2008,17_plus,418,256,1.6328125
2009,within_7,1916,256,7.484375
2009,8_16,668,256,2.609375
2009,17_plus,440,256,1.71875
2010,within_7,1941,256,7.58203125
2010,8_16,701,256,2.73828125
2010,17_plus,418,256,1.6328125
2011,within_7,2049,256,8.00390625
2011,8_16,742,256,2.8984375
2011,17_plus,447,256,1.74609375
2012,within_7,1963,256,7.66796875
2012,8_16,719,256,2.80859375
2012,17_plus,467,256,1.82421875
2013,within_7,2015,256,7.87109375
2013,8_16,717,256,2.80078125
2013,17_plus,402,256,1.5703125
2014,within_7,1879,256,7.33984375
2014,8_16,748,256,2.921875
2014,17_plus,503,256,1.96484375
2015,within_7,1980,256,7.734375
2015,8_16,742,256,2.8984375
2015,17_plus,444,256,1.734375
2016,within_7,1931,256,7.54296875
2016,8_16,815,256,3.18359375
2016,17_plus,317,256,1.23828125
2017,within_7,1926,256,7.5234375
2017,8_16,719,256,2.80859375
2017,17_plus,364,256,1.421875
2018,within_7,2041,256,7.97265625
2018,8_16,818,256,3.1953125
2018,17_plus,423,256,1.65234375
2019,within_7,1977,256,7.72265625
2019,8_16,835,256,3.26171875
2019,17_plus,388,256,1.515625
2020,within_7,1980,256,7.734375
2020,8_16,846,256,3.3046875
2020,17_plus,405,256,1.58203125
2021,within_7,2080,272,7.647058823529412
2021,8_16,793,272,2.9154411764705883
2021,17_plus,412,272,1.5147058823529411
2022,within_7,2221,271,8.195571955719558
2022,8_16,777,271,2.867158671586716
2022,17_plus,294,271,1.084870848708487
2023,within_7,2128,272,7.823529411764706
2023,8_16,770,272,2.8308823529411766
2023,17_plus,350,272,1.286764705882353
2024,within_7,2106,272,7.742647058823529
2024,8_16,798,272,2.9338235294117645
2024,17_plus,390,272,1.4338235294117647
2025,within_7,2052,272,7.544117647058823
2025,8_16,762,272,2.801470588235294
2025,17_plus,332,272,1.2205882352941178
