season,explosive_plays,explosive_in_garbage_time,share_garbage
1999,2780,417,0.15
2000,2779,501,0.18028067650233898
2001,2923,484,0.16558330482381114
2002,2995,456,0.15225375626043405
2003,2947,445,0.15100101798439092
2004,3040,464,0.15263157894736842
2005,2758,449,0.16279912980420594
2006,2927,429,0.14656645029039972
2007,2797,466,0.16660707901322847
2008,2835,449,0.15837742504409172
2009,3024,485,0.16038359788359788
2010,3060,506,0.165359477124183
2011,3238,477,0.14731315626930203
2012,3149,545,0.17307081613210543
2013,3134,460,0.1467772814294831
2014,3130,567,0.18115015974440896
2015,3166,496,0.15666456096020215
2016,3063,398,0.12993796931113288
2017,3009,456,0.15154536390827517
2018,3282,507,0.15447897623400367
2019,3200,475,0.1484375
2020,3231,502,0.15536985453419994
2021,3285,493,0.15007610350076103
2022,3292,409,0.12424058323207776
2023,3248,456,0.14039408866995073
2024,3294,475,0.14420157862780814
2025,3146,466,0.14812460267005723
