season,champion,n_teams,explosive_diff_pg,epd_rank,turnover_diff_pg,tod_rank
1999,LAR,31,2.6,1.0,-0.5333333333333333,8.0
2000,BAL,31,2.0625,4.0,-1.4375,1.0
2001,NE,31,-0.9375,22.0,-0.4375,10.0
2002,TB,32,0.25,16.0,-1.0625,1.0
2003,NE,32,0.8125,9.0,-1.0625,2.0
2004,NE,32,2.0625,2.0,-0.5625,8.0
2005,PIT,32,2.1875,2.0,-0.4375,9.0
2006,IND,32,-1.0,26.0,-0.4375,5.0
2007,NYG,32,-0.0625,16.0,0.5625,26.0
2008,PIT,32,1.9375,1.0,-0.25,11.0
2009,NO,32,0.875,9.0,-0.6875,3.0
2010,GB,32,-0.0625,16.0,-0.625,4.0
2011,NYG,32,-0.5,22.0,-0.4375,7.0
2012,BAL,32,1.125,8.0,-0.5625,8.0
2013,SEA,32,2.8125,2.0,-1.1875,1.0
2014,NE,32,-1.1875,26.0,-0.75,2.0
2015,DEN,32,0.8125,10.0,0.25,19.0
2016,NE,32,0.875,6.0,-0.75,3.0
2017,PHI,32,1.875,3.0,-0.6875,4.0
2018,NE,32,0.0,19.0,-0.625,5.0
2019,KC,32,-0.625,20.0,-0.5,7.0
2020,TB,32,1.375,7.0,-0.5,6.0
2021,LAR,32,0.7647058823529411,9.0,-0.11764705882352941,13.0
2022,KC,32,1.7058823529411764,4.0,0.17647058823529413,22.0
2023,KC,32,0.9411764705882353,7.0,0.6470588235294118,28.0
2024,PHI,32,2.6470588235294117,2.0,-0.6470588235294118,6.0
2025,SEA,32,2.3529411764705883,1.0,0.058823529411764705,14.0
