decade,phase,n,hfa,home_win_pct,raw_margin,hfa_se
1970s,1,564,2.826994675690716,0.5390070921985816,2.1400709219858154,0.5078551867930382
1970s,2,670,2.86526102139649,0.5656716417910448,3.217910447761194,0.4585426778716332
1970s,3,698,3.1940616560515496,0.6017191977077364,3.444126074498567,0.45414163961771287
1980s,1,588,2.4571959035220594,0.548469387755102,2.3214285714285716,0.5085282012380035
1980s,2,616,2.4627088268989383,0.5925324675324676,2.404220779220779,0.4801671454761383
1980s,3,756,3.1060113520480654,0.5846560846560847,3.3531746031746033,0.4579997489326431
1990s,1,682,2.357162343095984,0.6011730205278593,2.769794721407625,0.46379700919517836
1990s,2,779,2.617032822476478,0.5879332477535302,2.3735558408215662,0.41404663932106034
1990s,3,867,3.668681330218411,0.5997693194925029,3.5628604382929643,0.3755815632812013
2000s,1,739,2.2056184598121047,0.5683355886332883,2.428958051420839,0.4333148102832668
2000s,2,852,2.3800983422769546,0.5657276995305164,2.2030516431924885,0.39791619693875396
2000s,3,947,2.9314517933434674,0.5776135163674763,2.9524815205913413,0.40248629242784767
2010s,1,763,2.586406965323932,0.5694626474442989,2.437745740498034,0.4295445844008161
2010s,2,816,1.4136735901478146,0.5778186274509803,1.6764705882352942,0.415249325827056
2010s,3,950,2.5616603156016984,0.5605263157894737,2.602105263157895,0.3851527934593813
2020s,1,528,1.2563608119878642,0.5104166666666666,1.1458333333333333,0.49995275351357865
2020s,2,504,1.8218841442265636,0.5545634920634921,1.9047619047619047,0.5138412610402525
2020s,3,554,2.0678268847072476,0.5370036101083032,2.1949458483754514,0.49592402732237284
