era,status,n_as_host,hfa_as_host,home_win_pct_as_host,n_as_visitor,hfa_as_visitor,n_all,hfa_all,hfa_all_se
1970-1989,alive,490,4.038230313921979,0.6489795918367347,485,4.013102077693006,651,3.95619519186237,0.2901420475675445
1970-1989,clinched,22,2.0768219248871165,0.7727272727272727,23,2.4625600219065777,42,2.5792775891442847,0.9747870131408362
1970-1989,eliminated,202,4.163387662343717,0.4777227722772277,209,4.196996735024385,347,4.143209645183949,0.35008879247519964
1970-1989,longshot,66,3.998067570839588,0.5757575757575758,63,3.954507902112288,125,3.941220133192311,0.601107435403205
1990-2009,alive,581,4.512942990293489,0.6437177280550774,586,4.561590636164563,795,4.493368090435233,0.26952989118036913
1990-2009,clinched,52,5.591820075048047,0.75,59,5.757759780863259,110,5.66270510797854,0.7216750191449236
1990-2009,eliminated,198,4.084114132850515,0.45454545454545453,180,3.8988001650083395,338,4.198957232800721,0.4279713675257673
1990-2009,longshot,78,4.2496680300916125,0.48717948717948717,84,4.027848289877339,154,4.052784796185259,0.6575670380071943
2010-2025,alive,492,2.7619206315800446,0.5955284552845529,501,2.7309181138415863,668,2.8596438990662825,0.3001849245874161
2010-2025,clinched,60,2.977721802370369,0.7,47,3.041019849467878,102,3.1808834262804475,0.7988175940417308
2010-2025,eliminated,141,2.2066703260654816,0.4326241134751773,144,2.2845988120629728,255,2.5958265225801003,0.4900618934765598
2010-2025,longshot,73,2.9695124941973985,0.4383561643835616,74,3.0451763518182977,140,2.888730029237585,0.657107808082847
