franchise,seasons,home_games,home_adj_margin,road_games,road_adj_margin,swing,swing_se,swing_vs_league,z
CAR,31,249,1.6298674589456001,250,-1.737073045273128,3.366940504218728,1.0600526571207607,-1.6982684884523835,-1.6020604986407931
NO,55,429,1.6476908774234067,432,-1.7565877798785394,3.404278657301946,0.8180103094936529,-1.6609303353691658,-2.0304515922266053
NYG,55,432,1.7556105601827274,428,-1.7532930171958376,3.508903577378565,0.7675710366253068,-1.5563054152925466,-2.0275718350903125
PHI,55,432,1.7827471350908592,431,-1.7923740754131108,3.57512121050397,0.7895646007991459,-1.4900877821671417,-1.887227189084936
WSH,55,432,1.8957758178342436,430,-1.912895092043897,3.8086709098781406,0.7824147969400119,-1.256538082792971,-1.605974334467131
IND,55,433,1.9664674260071615,429,-1.9312609559628102,3.897728381969972,0.7900889157650087,-1.1674806107011397,-1.4776572451604628
TB,49,385,2.000884204758381,392,-1.959955347602088,3.960839552360469,0.8313004626265726,-1.1043694403106428,-1.328484092046915
HOU,24,195,1.9429130076077918,192,-2.0253489466829167,3.9682619542907087,1.1555638623548996,-1.096947038380403,-0.9492742669755676
ATL,55,429,2.0571658006276423,431,-2.0683945536091892,4.125560354236832,0.8068935177526408,-0.9396486384342797,-1.1645261955398878
CLE,52,407,2.1523799425173005,407,-2.175993688526162,4.328373631043462,0.7928883990754274,-0.7368353616276497,-0.9293052622372328
SF,55,428,2.1737686847766455,430,-2.173263138639995,4.347031823416641,0.8151637968227472,-0.7181771692544707,-0.8810219149251968
OAK,55,428,2.260887912212316,432,-2.1981492015226447,4.459037113734961,0.8024773633890501,-0.6061718789361503,-0.7553756736216762
LAC,55,430,2.385341373945956,430,-2.3644931827171716,4.749834556663128,0.8137252642078346,-0.31537443600798376,-0.3875686916455792
NYJ,55,431,2.3953446159210827,429,-2.3932747056875443,4.788619321608627,0.8495309906938521,-0.2765896710624851,-0.32557925972374624
LAR,55,428,2.4388580609257784,432,-2.4967364546567867,4.935594515582565,0.8285919072573769,-0.12961447708854656,-0.15642739924599067
DAL,55,431,2.5962843923443573,433,-2.593109474227621,5.189393866571978,0.8251442745510945,0.12418487390086597,0.15050080056415177
MIN,55,430,2.678547716689458,428,-2.6433878563853024,5.321935573074761,0.7973632741295041,0.25672658040364915,0.32196940683519965
NE,55,432,2.6556240457673903,428,-2.7438998639423797,5.39952390970977,0.8690378603894243,0.33431491703865834,0.38469545721385323
MIA,55,429,2.700978446500346,427,-2.7276326650999305,5.428611111600277,0.8215220826284978,0.36340211892916496,0.44235222231208093
ARI,55,430,2.7488035691104327,432,-2.6952521054351326,5.444055674545565,0.8174625125713367,0.37884668187445314,0.46344226927640636
CHI,55,431,2.7757935853945863,431,-2.7752158684822517,5.551009453876838,0.8062094764681648,0.4858004612057263,0.6025734940922756
SEA,49,390,2.8503257828520354,388,-2.865920522667175,5.71624630551921,0.871666069961487,0.6510373128480982,0.7468884418970938
CIN,55,431,2.8917080410639127,431,-2.891882119023276,5.783590160087188,0.8139954862987024,0.7183811674160765,0.8825370404479866
BUF,55,428,2.920796106635199,429,-2.907589064860742,5.828385171495941,0.839165784020633,0.7631761788248292,0.9094462540742303
BAL,30,243,3.0670301826457322,240,-2.900377289295667,5.967407471941399,1.0525991162079986,0.9021984792702877,0.8571149883922276
JAX,31,239,2.9842907796191684,248,-3.0414504740625112,6.02574125368168,1.049380073306096,0.9605322610105684,0.9153330480007967
KC,55,431,3.067626548816577,430,-3.1260509765899385,6.193677525406516,0.8258626913874331,1.128468532735404,1.3664118073182348
PIT,55,433,3.1481721214275797,430,-3.124062577458646,6.272234698886226,0.8104278008697476,1.2070257062151146,1.4893685839993887
GB,55,431,3.2536444766483053,431,-3.144697469490948,6.3983419461392534,0.8129637178256468,1.3331329534681418,1.6398431125976198
TEN,55,432,3.1877211221765966,431,-3.2205228235784826,6.408243945755079,0.8300474758530909,1.3430349530839676,1.6180218507425106
DEN,55,433,3.262852442193828,429,-3.255477788592033,6.51833023078586,0.8022337555329339,1.4531212381147487,1.8113439232551642
DET,55,431,3.4422010429010568,432,-3.3733857685657114,6.815586811466768,0.7877623362575115,1.7503778187956565,2.221961800193854
