franchise,seasons,home_games,home_adj_margin,road_games,road_adj_margin,swing,swing_se,swing_vs_league,z
WSH,26,210,0.862669326479023,208,-0.8881264174763228,1.7507957439553459,1.099955689927251,-2.6747591495331133,-2.431697180192792
NYG,26,210,1.094567583845886,206,-1.0769167085850295,2.1714842924309155,1.1529767677057117,-2.2540706010575438,-1.9550008848338545
NO,26,207,1.1156842780768925,210,-1.347300857403841,2.4629851354807335,1.2278347314594797,-1.9625697580077257,-1.5983989601555697
PHI,26,209,1.3668587710871432,210,-1.3967891147434295,2.7636478858305726,1.2049864497548457,-1.6619070076578866,-1.379191448995963
CAR,26,209,1.3364181956470755,210,-1.4654412711003173,2.801859466747393,1.1700259427879562,-1.6236954267410662,-1.3877430981334475
TB,26,206,1.526273225477459,211,-1.455396185219392,2.981669410696851,1.123569018383574,-1.4438854827916083,-1.285088373893451
ATL,26,208,1.5157252177715468,208,-1.5333605896042086,3.0490858073757554,1.1222695202917465,-1.3764690861127038,-1.2265049181366658
NE,26,210,1.5652683563947971,206,-1.727504411838515,3.292772768233312,1.2778292148507642,-1.1327821252551473,-0.8864894557818067
CIN,26,209,1.6668183898283406,209,-1.6671773735627111,3.3339957633910515,1.1406860861212442,-1.0915591300974077,-0.9569320984786565
LAC,26,207,1.8194822514398703,209,-1.7844682804535037,3.603950531893374,1.1192987747349663,-0.8216043615950852,-0.7340348976881791
HOU,24,195,1.9429130076077918,192,-2.0253489466829167,3.9682619542907087,1.1555638623548996,-0.4572929391977505,-0.395731429560148
OAK,26,206,2.212965164099009,210,-2.0848154877871705,4.29778065188618,1.146950648608162,-0.12777424160227913,-0.11140343462670749
IND,26,210,2.252821368821331,208,-2.1894654273775607,4.442286796198892,1.1550614604283151,0.016731902710432678,0.014485725031660412
DAL,26,210,2.243769496739661,210,-2.236779317906495,4.480548814646156,1.1877098307056784,0.05499392115769641,0.04630248882003591
CLE,26,209,2.3715072724410193,209,-2.417491935721441,4.78899920816246,1.054793228206977,0.36344431467400096,0.34456451269772853
MIA,26,207,2.3693562624471243,205,-2.4216397111003634,4.790995973547488,1.2106063232267215,0.3654410800590284,0.3018661583436888
KC,26,209,2.4191548268489838,208,-2.5368184432940706,4.955973270143055,1.203898286743755,0.5304183766545956,0.4405840447611609
LAR,26,206,2.4222269219100334,210,-2.5416078297569786,4.963834751667012,1.190303399190695,0.5382798581785524,0.4522207183013481
BUF,26,206,2.499761484721632,207,-2.474424352840819,4.974185837562452,1.237344817398592,0.5486309440739925,0.44339373823655764
TEN,26,210,2.483999450235865,209,-2.548276060916588,5.032275511152453,1.200098306882832,0.6067206176639939,0.5055590981041432
NYJ,26,210,2.5578424792384573,206,-2.539848763213116,5.097691242451573,1.194810194115351,0.6721363489631136,0.5625465469523967
ARI,26,208,2.6281956038282415,210,-2.5191812401274563,5.147376843955698,1.1837875275224052,0.7218219504672385,0.6097563402935725
SF,26,206,2.5938670658736163,208,-2.588782538945957,5.182649604819574,1.1597498901721157,0.7570947113311144,0.6528086079135181
DET,26,210,2.6866765810427924,209,-2.5484704198751666,5.235147000917959,1.0798789794711778,0.8095921074294994,0.7497063308204783
DEN,26,211,2.757119887320331,207,-2.732063575172201,5.489183462492532,1.2091956844275105,1.0636285690040728,0.8796165771197274
PIT,26,210,2.770543459543743,209,-2.728525841767498,5.499069301311241,1.0955962302599083,1.073514407822782,0.9798449266004797
SEA,26,210,2.7736113261218054,208,-2.8019638748468716,5.575575200968677,1.1344174574504007,1.1500203074802178,1.013754063750821
JAX,26,199,2.7614653411524586,208,-2.839258769845481,5.600724110997939,1.1756513292440376,1.1751692175094801,0.9995899194577805
CHI,26,209,2.804893415471846,209,-2.8037020471023975,5.608595462574243,1.1080540216551242,1.183040569085784,1.0676740898594914
MIN,26,207,3.001522746160532,207,-2.928480481192172,5.930003227352704,1.1244256292865928,1.5044483338642447,1.3379705110588438
GB,26,209,3.155783784548341,209,-2.931113162132927,6.086896946681268,1.16427060203862,1.6613420531928087,1.4269380763233428
BAL,26,211,3.222600481819193,208,-3.0325524841918163,6.255152966011009,1.1416879414298908,1.8295980725225496,1.6025377917463992
