season,date,week,game_type,home_franchise,away_franchise,home_score,away_score,neutral_site,overtime,source,margin,game_uid,week_index,n_weeks,phase,home_conf,away_conf,indoor,div_game,home_win,decade,phase_label,adj_margin,home_status,away_status,home_games_back,away_games_back
1970,1970-09-18,,REG,LAR,ARI,34,13,False,,fivethirtyeight,21,G000000,1,14,1,NFC,NFC,,,1.0,1970s,Early (first third),18.822057142742096,alive,alive,0.0,0.0
1970,1970-09-19,,REG,NYG,CHI,16,24,False,,fivethirtyeight,-8,G000001,1,14,1,NFC,NFC,,,0.0,1970s,Early (first third),-7.7737311505543865,alive,alive,0.0,0.0
1970,1970-09-20,,REG,LAC,IND,14,16,False,,fivethirtyeight,-2,G000002,1,14,1,AFC,AFC,,,0.0,1970s,Early (first third),-0.8963425104696863,alive,alive,0.0,0.0
1970,1970-09-20,,REG,CIN,OAK,31,21,False,,fivethirtyeight,10,G000003,1,14,1,AFC,AFC,,,1.0,1970s,Early (first third),10.488658163995677,alive,alive,0.0,0.0
1970,1970-09-20,,REG,SF,WSH,26,17,False,,fivethirtyeight,9,G000004,1,14,1,NFC,NFC,,,1.0,1970s,Early (first third),5.453776351171786,alive,alive,0.0,0.0
1970,1970-09-20,,REG,PHI,DAL,7,17,False,,fivethirtyeight,-10,G000005,1,14,1,NFC,NFC,,,0.0,1970s,Early (first third),1.4407240929981953,alive,alive,0.0,0.0
1970,1970-09-20,,REG,BUF,DEN,10,25,False,,fivethirtyeight,-15,G000006,1,14,1,AFC,AFC,,,0.0,1970s,Early (first third),-5.307892201445103,alive,alive,0.0,0.0
1970,1970-09-20,,REG,GB,DET,0,40,False,,fivethirtyeight,-40,G000007,1,14,1,NFC,NFC,,,0.0,1970s,Early (first third),-24.11467700861255,alive,alive,0.0,0.0
1970,1970-09-20,,REG,MIN,KC,27,10,False,,fivethirtyeight,17,G000008,1,14,1,NFC,AFC,,,1.0,1970s,Early (first third),3.453161511975713,alive,alive,0.0,0.0
1970,1970-09-20,,REG,NO,ATL,3,14,False,,fivethirtyeight,-11,G000009,1,14,1,NFC,NFC,,,0.0,1970s,Early (first third),-5.423420506047881,alive,alive,0.0,0.0
1970,1970-09-20,,REG,NE,MIA,27,14,False,,fivethirtyeight,13,G000010,1,14,1,AFC,AFC,,,1.0,1970s,Early (first third),27.55506703313077,alive,alive,0.0,0.0
1970,1970-09-20,,REG,PIT,TEN,7,19,False,,fivethirtyeight,-12,G000011,1,14,1,AFC,AFC,,,0.0,1970s,Early (first third),-13.810787998847847,alive,alive,0.0,0.0
1970,1970-09-21,,REG,CLE,NYJ,31,21,False,,fivethirtyeight,10,G000012,1,14,1,AFC,AFC,,,1.0,1970s,Early (first third),4.561928059557154,alive,alive,0.0,0.0
1970,1970-09-27,,REG,CHI,PHI,20,16,False,,fivethirtyeight,4,G000013,2,14,1,NFC,NFC,,,1.0,1970s,Early (first third),-2.674589211835799,alive,alive,0.0,1.0
1970,1970-09-27,,REG,LAC,OAK,27,27,False,,fivethirtyeight,0,G000014,2,14,1,AFC,AFC,,,0.5,1970s,Early (first third),1.725425734927386,alive,alive,1.0,1.0
1970,1970-09-27,,REG,SF,CLE,34,31,False,,fivethirtyeight,3,G000015,2,14,1,NFC,AFC,,,1.0,1970s,Early (first third),-2.949968350358283,alive,alive,0.0,0.0
1970,1970-09-27,,REG,NE,NYJ,21,31,False,,fivethirtyeight,-10,G000016,2,14,1,AFC,AFC,,,0.0,1970s,Early (first third),0.9972815067232332,alive,alive,0.0,1.0
1970,1970-09-27,,REG,MIN,NO,26,0,False,,fivethirtyeight,26,G000017,2,14,1,NFC,NFC,,,1.0,1970s,Early (first third),3.0739981663387823,alive,alive,0.0,1.0
